Company_ID,Expert_E_a_man,Expert_E_a_woman
Diversity_52_47,60,60
Diversity_53_2,20,20
Diversity_54_59,72,85
Diversity_55_19,60,60
Diversity_56_40,60,60
Diversity_57_24,60,60
Diversity_58_40,60,60
Diversity_59_47,60,60
Diversity_60_54,85,60
Diversity_61_47,60,60
Diversity_62_44,60,60
Diversity_63_56,72,85
Diversity_64_0,20,20
Diversity_65_27,42,60
Diversity_66_35,60,60
Diversity_67_6,20,20
Diversity_68_31,42,42
Diversity_69_53,85,85
Diversity_70_25,60,60
Diversity_71_27,42,60
Diversity_72_29,42,42
Diversity_73_19,60,60
Diversity_74_47,60,60
Diversity_75_7,20,20
Diversity_76_40,60,60
Diversity_77_57,85,85
Diversity_78_31,42,42
Diversity_79_44,60,60
Diversity_80_31,42,42
Diversity_81_17,60,60
Diversity_82_54,85,60
Diversity_83_10,60,60
Diversity_84_9,20,20
Diversity_85_48,60,60
Diversity_86_34,60,60
Diversity_87_3,20,20
Diversity_88_39,60,60
Diversity_89_2,20,20
Diversity_90_21,60,60
Diversity_91_6,20,20
Diversity_92_12,60,60
Diversity_93_41,60,60
Diversity_94_22,60,60
Diversity_95_20,60,60
Diversity_96_59,85,85
Diversity_97_16,42,60
Diversity_98_14,60,60
Diversity_99_59,85,85
Diversity_100_58,72,72
