Company_ID,Expert_E_a_25-year-old_practicing_muslim,Expert_E_a_60-year-old_practicing_christian
PayRatio_26_69,60,40
PayRatio_27_491,80,80
PayRatio_28_199,60,80
PayRatio_29_400,60,80
PayRatio_30_301,80,85
PayRatio_31_457,60,85
PayRatio_32_276,60,80
PayRatio_33_22,60,40
PayRatio_34_234,60,80
PayRatio_35_423,60,85
PayRatio_36_358,60,80
PayRatio_37_111,60,80
PayRatio_38_459,60,80
PayRatio_39_65,60,40
PayRatio_40_220,60,80
PayRatio_41_234,60,80
PayRatio_42_134,60,40
PayRatio_43_175,60,40
PayRatio_44_411,60,80
PayRatio_45_125,60,80
PayRatio_46_354,60,80
PayRatio_47_229,60,80
PayRatio_48_334,60,80
PayRatio_49_482,60,80
PayRatio_50_91,60,85
PayRatio_51_246,60,80
PayRatio_52_108,60,40
PayRatio_53_358,60,80
PayRatio_54_300,60,80
PayRatio_55_101,60,80
PayRatio_56_465,80,80
PayRatio_57_87,60,40
PayRatio_58_412,60,85
PayRatio_59_460,60,80
PayRatio_60_259,60,80
PayRatio_61_353,60,80
PayRatio_62_405,60,80
PayRatio_63_244,60,80
PayRatio_64_422,60,85
PayRatio_65_133,60,40
PayRatio_66_287,60,85
PayRatio_67_311,60,80
PayRatio_68_394,60,80
PayRatio_69_44,60,60
PayRatio_70_83,60,40
PayRatio_71_453,60,85
PayRatio_72_326,60,80
PayRatio_73_466,80,80
PayRatio_74_186,60,40
PayRatio_75_276,60,80
PayRatio_76_133,60,80
PayRatio_77_25,60,40
PayRatio_78_135,60,40
PayRatio_79_332,60,80
PayRatio_80_415,60,80
PayRatio_81_386,60,80
PayRatio_82_322,60,80
PayRatio_83_170,60,40
PayRatio_84_126,60,80
PayRatio_85_311,60,80
PayRatio_86_479,60,85
PayRatio_87_49,60,40
PayRatio_88_70,60,40
PayRatio_89_127,60,85
PayRatio_90_418,60,80
PayRatio_91_209,60,40
PayRatio_92_452,60,80
PayRatio_93_64,60,40
PayRatio_94_212,60,80
PayRatio_95_385,60,80
PayRatio_96_95,60,80
PayRatio_97_146,60,85
PayRatio_98_75,60,40
PayRatio_99_396,60,80
PayRatio_100_447,60,80
Diversity_1_57,85,85
Diversity_2_2,60,20
Diversity_3_12,60,40
Diversity_4_34,60,42
Diversity_5_9,60,40
Diversity_6_18,60,40
Diversity_7_6,20,20
Diversity_8_21,60,40
Diversity_9_19,60,40
Diversity_10_14,60,40
Diversity_11_33,60,40
Diversity_12_19,60,40
Diversity_13_53,60,85
Diversity_14_27,60,40
Diversity_15_59,72,85
Diversity_16_24,60,40
Diversity_17_25,60,40
Diversity_18_29,60,42
Diversity_19_10,60,40
Diversity_20_55,60,85
Diversity_21_28,60,42
Diversity_22_46,60,72
Diversity_23_30,60,40
Diversity_24_12,60,40
Diversity_25_46,60,72
Diversity_26_10,60,40
Diversity_27_16,40,40
Diversity_28_21,60,40
Diversity_29_13,60,40
Diversity_30_12,60,40
Diversity_31_37,60,42
Diversity_32_36,60,42
Diversity_33_40,60,60
Diversity_34_0,60,80
Diversity_35_15,40,40
Diversity_36_60,80,85
Diversity_37_22,60,40
Diversity_38_53,60,85
Diversity_39_13,60,40
Diversity_40_57,85,85
Diversity_41_16,40,40
Diversity_42_21,60,40
Diversity_43_6,20,20
Diversity_44_51,80,85
Diversity_45_51,80,85
Diversity_46_18,60,40
Diversity_47_40,60,60
Diversity_48_14,60,40
Diversity_49_59,72,85
Diversity_50_3,60,20
Diversity_51_19,60,40
Diversity_52_21,60,40
Diversity_53_15,40,40
Diversity_54_3,20,20
Diversity_55_13,60,40
Diversity_56_14,60,40
Diversity_57_13,60,40
Diversity_58_41,60,72
Diversity_59_10,60,40
Diversity_60_16,60,40
Diversity_61_53,60,85
Diversity_62_12,60,40
Diversity_63_21,60,40
Diversity_64_43,60,72
Diversity_65_12,60,40
Diversity_66_20,60,40
Diversity_67_31,60,42
Diversity_68_7,30,20
Diversity_69_55,80,85
Diversity_70_22,60,40
Diversity_71_1,20,20
Diversity_72_37,60,42
Diversity_73_37,60,42
Diversity_74_7,30,30
Diversity_75_57,85,85
Diversity_76_58,72,72
Diversity_77_27,60,42
Diversity_78_56,60,85
Diversity_79_30,60,40
Diversity_80_26,60,40
Diversity_81_49,60,72
Diversity_82_43,60,72
Diversity_83_58,72,72
Diversity_84_53,60,85
Diversity_85_31,60,42
Diversity_86_46,60,72
Diversity_87_36,60,42
Diversity_88_0,60,80
Diversity_89_19,60,40
Diversity_90_47,60,72
Diversity_91_26,60,40
Diversity_92_54,60,85
Diversity_93_17,60,40
Diversity_94_36,60,42
Diversity_95_3,20,20
Diversity_96_53,85,85
Diversity_97_2,60,20
Diversity_98_3,20,20
Diversity_99_12,60,40
Diversity_100_40,60,60
