Company_ID,Expert_E_a_25-year-old,Expert_E_a_60-year-old
PayRatio_57_169,43,43
PayRatio_58_264,43,44
PayRatio_59_194,43,41
PayRatio_60_123,43,43
PayRatio_61_269,43,41
PayRatio_62_439,43,43
PayRatio_63_468,43,31
PayRatio_64_193,43,43
PayRatio_65_419,31,31
PayRatio_66_197,43,41
PayRatio_67_339,41,43
PayRatio_68_275,43,41
PayRatio_69_322,41,41
PayRatio_70_355,31,31
PayRatio_71_464,43,43
PayRatio_72_469,43,31
PayRatio_73_300,41,41
PayRatio_74_169,43,43
PayRatio_75_495,31,31
PayRatio_76_123,43,43
PayRatio_77_263,43,43
PayRatio_78_234,43,43
PayRatio_79_256,43,43
PayRatio_80_357,31,31
PayRatio_81_74,43,43
PayRatio_82_396,31,31
PayRatio_83_104,43,43
PayRatio_84_380,31,31
PayRatio_85_227,41,41
PayRatio_86_196,43,31
PayRatio_87_421,41,41
PayRatio_88_280,41,31
PayRatio_89_179,43,41
PayRatio_90_372,31,41
PayRatio_91_88,43,43
PayRatio_92_424,43,43
PayRatio_93_47,43,43
PayRatio_94_249,41,31
PayRatio_95_138,43,43
PayRatio_96_189,41,31
PayRatio_97_181,43,43
PayRatio_98_255,43,41
PayRatio_99_488,41,31
PayRatio_100_430,43,43
Diversity_1_36,64,64
Diversity_2_34,51,51
Diversity_3_7,31,31
Diversity_4_41,64,64
Diversity_5_1,30,30
Diversity_6_19,43,43
Diversity_7_7,31,31
Diversity_8_53,71,71
Diversity_9_23,43,43
Diversity_10_58,71,72
Diversity_11_21,43,43
Diversity_12_6,31,31
Diversity_13_36,64,64
Diversity_14_26,43,43
Diversity_15_50,71,71
Diversity_16_47,67,67
Diversity_17_6,31,31
Diversity_18_15,41,41
Diversity_19_10,41,31
Diversity_20_41,64,64
Diversity_21_51,71,71
Diversity_22_57,71,71
Diversity_23_57,71,71
Diversity_24_60,71,71
Diversity_25_27,43,43
Diversity_26_18,43,43
Diversity_27_23,43,43
Diversity_28_34,51,51
Diversity_29_17,43,43
Diversity_30_4,31,31
Diversity_31_19,43,43
Diversity_32_8,31,31
Diversity_33_42,64,64
Diversity_34_52,71,71
Diversity_35_54,71,71
Diversity_36_12,43,41
Diversity_37_14,43,42
Diversity_38_4,31,31
Diversity_39_17,43,43
Diversity_40_46,64,64
Diversity_41_11,41,41
Diversity_42_39,64,64
Diversity_43_14,43,43
Diversity_44_28,42,42
Diversity_45_7,31,31
Diversity_46_39,64,64
Diversity_47_32,51,42
Diversity_48_39,64,64
Diversity_49_26,43,43
Diversity_50_32,51,42
Diversity_51_15,41,41
Diversity_52_7,31,31
Diversity_53_21,43,43
Diversity_54_56,71,71
Diversity_55_55,71,71
Diversity_56_41,64,64
Diversity_57_31,43,43
Diversity_58_6,31,31
Diversity_59_40,64,51
Diversity_60_45,64,67
Diversity_61_17,43,43
Diversity_62_22,42,42
Diversity_63_55,71,71
Diversity_64_4,31,31
Diversity_65_25,43,43
Diversity_66_27,43,43
Diversity_67_48,71,64
Diversity_68_46,64,64
Diversity_69_43,64,64
Diversity_70_17,43,43
Diversity_71_39,51,51
Diversity_72_29,43,43
Diversity_73_60,71,71
Diversity_74_9,31,31
Diversity_75_47,67,67
Diversity_76_25,43,42
Diversity_77_22,42,42
Diversity_78_44,64,64
Diversity_79_52,71,71
Diversity_80_16,43,43
Diversity_81_27,43,43
Diversity_82_39,51,64
Diversity_83_16,43,43
Diversity_84_41,64,64
Diversity_85_25,43,42
Diversity_86_41,64,64
Diversity_87_46,64,64
Diversity_88_42,64,64
Diversity_89_55,71,71
Diversity_90_32,42,42
Diversity_91_4,31,31
Diversity_92_59,71,71
Diversity_93_3,31,31
Diversity_94_30,43,43
Diversity_95_36,64,64
Diversity_96_35,51,51
Diversity_97_45,64,64
Diversity_98_31,43,43
Diversity_99_6,31,31
Diversity_100_13,43,43
