Company_ID,Expert_E_a_practicing_muslim_man,Expert_E_a_practicing_christian_woman
PayRatio_15_55,43,43
PayRatio_16_233,43,43
PayRatio_17_219,43,43
PayRatio_18_363,43,43
PayRatio_19_247,43,41
PayRatio_20_454,31,43
PayRatio_21_272,43,43
PayRatio_22_194,43,43
PayRatio_23_492,31,43
PayRatio_24_481,41,43
PayRatio_25_374,31,43
PayRatio_26_23,43,43
PayRatio_27_412,43,43
PayRatio_28_441,41,41
PayRatio_29_73,43,43
PayRatio_30_129,43,43
PayRatio_31_118,43,43
PayRatio_32_281,41,43
PayRatio_33_480,41,41
PayRatio_34_150,41,41
PayRatio_35_494,31,43
PayRatio_36_365,43,43
PayRatio_37_151,43,43
PayRatio_38_468,43,43
PayRatio_39_340,43,43
PayRatio_40_427,43,43
PayRatio_41_382,43,43
PayRatio_42_234,43,43
PayRatio_43_498,31,31
PayRatio_44_178,43,43
PayRatio_45_159,43,43
PayRatio_46_128,43,43
PayRatio_47_24,43,64
PayRatio_48_283,43,43
PayRatio_49_105,43,43
PayRatio_50_29,51,51
PayRatio_51_203,43,43
PayRatio_52_230,43,41
PayRatio_53_198,43,43
PayRatio_54_246,43,43
PayRatio_55_427,43,43
PayRatio_56_239,43,43
PayRatio_57_361,43,41
PayRatio_58_131,41,43
PayRatio_59_176,43,43
PayRatio_60_252,43,43
PayRatio_61_448,31,31
PayRatio_62_124,43,43
PayRatio_63_186,43,43
PayRatio_64_395,43,31
PayRatio_65_322,31,43
PayRatio_66_416,31,43
PayRatio_67_450,31,31
PayRatio_68_303,43,43
PayRatio_69_498,31,41
PayRatio_70_89,43,43
PayRatio_71_310,41,43
PayRatio_72_465,31,43
PayRatio_73_165,43,43
PayRatio_74_85,43,43
PayRatio_75_124,43,43
PayRatio_76_118,43,43
PayRatio_77_66,43,43
PayRatio_78_353,43,43
PayRatio_79_116,43,43
PayRatio_80_186,43,43
PayRatio_81_48,41,43
PayRatio_82_169,43,43
PayRatio_83_232,43,43
PayRatio_84_202,43,43
PayRatio_85_344,43,44
PayRatio_86_36,43,64
PayRatio_87_309,41,43
PayRatio_88_118,43,43
PayRatio_89_20,51,51
PayRatio_90_330,43,43
PayRatio_91_373,43,43
PayRatio_92_477,43,43
PayRatio_93_403,43,43
PayRatio_94_273,43,43
PayRatio_95_277,41,43
PayRatio_96_399,31,31
PayRatio_97_427,43,43
PayRatio_98_164,43,43
PayRatio_99_116,43,43
PayRatio_100_121,41,41
Diversity_1_40,64,64
Diversity_2_9,41,41
Diversity_3_30,43,51
Diversity_4_20,41,41
Diversity_5_1,30,30
Diversity_6_38,64,64
Diversity_7_43,64,64
Diversity_8_30,51,43
Diversity_9_60,71,71
Diversity_10_5,31,31
Diversity_11_5,31,31
Diversity_12_15,41,43
Diversity_13_12,42,43
Diversity_14_36,64,64
Diversity_15_28,42,42
Diversity_16_51,71,71
Diversity_17_27,43,43
Diversity_18_2,31,31
Diversity_19_46,64,64
Diversity_20_13,43,43
Diversity_21_16,43,43
Diversity_22_27,43,43
Diversity_23_17,43,43
Diversity_24_18,43,43
Diversity_25_54,71,71
Diversity_26_44,64,64
Diversity_27_39,64,64
Diversity_28_47,67,67
Diversity_29_24,43,43
Diversity_30_25,43,43
Diversity_31_36,64,64
Diversity_32_16,43,43
Diversity_33_23,43,43
Diversity_34_20,41,41
Diversity_35_43,64,64
Diversity_36_49,64,64
Diversity_37_6,31,31
Diversity_38_5,31,31
Diversity_39_24,43,43
Diversity_40_22,42,42
Diversity_41_45,71,71
Diversity_42_34,64,64
Diversity_43_38,64,64
Diversity_44_57,71,71
Diversity_45_37,64,64
Diversity_46_53,71,71
Diversity_47_3,31,31
Diversity_48_39,64,64
Diversity_49_55,71,71
Diversity_50_51,71,71
Diversity_51_45,67,71
Diversity_52_56,71,71
Diversity_53_4,31,31
Diversity_54_21,43,43
Diversity_55_42,64,64
Diversity_56_14,42,42
Diversity_57_26,43,43
Diversity_58_32,51,64
Diversity_59_10,41,41
Diversity_60_32,42,64
Diversity_61_10,40,41
Diversity_62_41,64,64
Diversity_63_13,43,43
Diversity_64_0,31,31
Diversity_65_2,31,30
Diversity_66_41,64,64
Diversity_67_10,41,41
Diversity_68_13,43,43
Diversity_69_19,43,43
Diversity_70_40,64,64
Diversity_71_41,64,64
Diversity_72_4,31,31
Diversity_73_7,31,31
Diversity_74_24,43,43
Diversity_75_42,64,64
Diversity_76_36,64,64
Diversity_77_19,43,43
Diversity_78_13,43,43
Diversity_79_4,31,31
Diversity_80_36,64,64
Diversity_81_18,42,42
Diversity_82_10,41,41
Diversity_83_47,67,67
Diversity_84_24,43,43
Diversity_85_41,64,64
Diversity_86_44,64,64
Diversity_87_7,31,31
Diversity_88_57,71,71
Diversity_89_60,71,71
Diversity_90_13,43,43
Diversity_91_24,43,43
Diversity_92_9,41,41
Diversity_93_34,64,64
Diversity_94_46,64,64
Diversity_95_55,71,71
Diversity_96_54,71,71
Diversity_97_36,64,64
Diversity_98_19,43,43
Diversity_99_25,42,43
Diversity_100_43,64,64
