Company_ID,Expert_E_a_man,Expert_E_a_woman
PayRatio_13_386,31,43
PayRatio_14_323,43,43
PayRatio_15_478,31,41
PayRatio_16_422,31,31
PayRatio_17_490,31,31
PayRatio_18_368,43,43
PayRatio_19_157,43,43
PayRatio_20_342,43,43
PayRatio_21_474,31,31
PayRatio_22_47,43,43
PayRatio_23_240,31,43
PayRatio_24_301,31,31
PayRatio_25_96,31,31
PayRatio_26_490,31,31
PayRatio_27_443,43,43
PayRatio_28_276,41,41
PayRatio_29_419,31,31
PayRatio_30_140,43,43
PayRatio_31_70,41,41
PayRatio_32_180,41,41
PayRatio_33_414,31,31
PayRatio_34_43,43,43
PayRatio_35_303,43,43
PayRatio_36_87,43,43
PayRatio_37_349,41,41
PayRatio_38_433,43,43
PayRatio_39_87,43,43
PayRatio_40_458,43,43
PayRatio_41_223,43,43
PayRatio_42_252,31,31
PayRatio_43_316,31,31
PayRatio_44_240,31,43
PayRatio_45_132,43,43
PayRatio_46_123,43,43
PayRatio_47_249,31,41
PayRatio_48_277,41,43
PayRatio_49_183,43,43
PayRatio_50_129,43,43
PayRatio_51_171,43,43
PayRatio_52_413,43,43
PayRatio_53_431,31,43
PayRatio_54_314,31,31
PayRatio_55_43,43,43
PayRatio_56_105,43,43
PayRatio_57_366,31,43
PayRatio_58_346,41,41
PayRatio_59_113,43,43
PayRatio_60_225,41,41
PayRatio_61_115,43,43
PayRatio_62_75,43,43
PayRatio_63_189,41,41
PayRatio_64_244,44,43
PayRatio_65_207,43,43
PayRatio_66_123,43,43
PayRatio_67_370,31,31
PayRatio_68_337,43,43
PayRatio_69_471,41,41
PayRatio_70_248,43,41
PayRatio_71_260,31,41
PayRatio_72_336,43,43
PayRatio_73_130,43,43
PayRatio_74_235,43,43
PayRatio_75_292,43,43
PayRatio_76_196,43,43
PayRatio_77_82,41,41
PayRatio_78_257,43,43
PayRatio_79_190,31,41
PayRatio_80_436,43,43
PayRatio_81_164,43,43
PayRatio_82_402,43,43
PayRatio_83_384,31,31
PayRatio_84_273,43,43
PayRatio_85_403,43,43
PayRatio_86_280,41,41
PayRatio_87_264,43,43
PayRatio_88_185,43,43
PayRatio_89_79,43,43
PayRatio_90_271,41,41
PayRatio_91_253,43,43
PayRatio_92_272,43,41
PayRatio_93_414,31,31
PayRatio_94_139,43,43
PayRatio_95_101,41,41
PayRatio_96_431,43,43
PayRatio_97_302,43,43
PayRatio_98_120,41,41
PayRatio_99_324,41,31
PayRatio_100_178,43,43
Diversity_1_17,43,43
Diversity_2_32,43,51
Diversity_3_42,64,64
Diversity_4_28,42,43
Diversity_5_60,71,71
Diversity_6_46,64,64
Diversity_7_33,43,43
Diversity_8_58,71,71
Diversity_9_43,64,64
Diversity_10_24,43,43
Diversity_11_29,43,43
Diversity_12_43,64,64
Diversity_13_19,43,43
Diversity_14_6,31,31
Diversity_15_52,71,71
Diversity_16_56,71,71
Diversity_17_28,42,42
Diversity_18_37,64,64
Diversity_19_52,71,71
Diversity_20_51,71,71
Diversity_21_5,31,31
Diversity_22_15,41,43
Diversity_23_45,64,71
Diversity_24_58,71,71
Diversity_25_2,31,31
Diversity_26_43,64,64
Diversity_27_27,43,43
Diversity_28_18,43,43
Diversity_29_36,64,64
Diversity_30_3,31,31
Diversity_31_12,41,42
Diversity_32_51,71,71
Diversity_33_21,43,43
Diversity_34_52,71,71
Diversity_35_12,41,43
Diversity_36_58,71,71
Diversity_37_26,43,43
Diversity_38_1,30,31
Diversity_39_6,31,31
Diversity_40_5,31,31
Diversity_41_28,42,42
Diversity_42_22,42,42
Diversity_43_14,43,43
Diversity_44_34,64,64
Diversity_45_26,43,43
Diversity_46_24,43,43
Diversity_47_35,51,51
Diversity_48_40,64,64
Diversity_49_55,71,71
Diversity_50_48,71,71
Diversity_51_53,71,71
Diversity_52_11,41,41
Diversity_53_7,31,31
Diversity_54_14,43,43
Diversity_55_4,31,31
Diversity_56_38,64,64
Diversity_57_10,41,41
Diversity_58_53,71,71
Diversity_59_56,71,71
Diversity_60_60,71,71
Diversity_61_15,41,43
Diversity_62_18,43,43
Diversity_63_1,30,31
Diversity_64_24,43,43
Diversity_65_57,71,71
Diversity_66_56,71,71
Diversity_67_42,64,64
Diversity_68_47,64,67
Diversity_69_45,64,71
Diversity_70_32,42,42
Diversity_71_39,64,64
Diversity_72_42,64,64
Diversity_73_14,43,43
Diversity_74_18,43,43
Diversity_75_28,43,43
Diversity_76_30,51,51
Diversity_77_50,71,71
Diversity_78_37,64,64
Diversity_79_50,71,71
Diversity_80_26,43,43
Diversity_81_12,41,41
Diversity_82_37,64,64
Diversity_83_21,43,43
Diversity_84_43,64,64
Diversity_85_45,64,71
Diversity_86_49,64,64
Diversity_87_40,64,64
Diversity_88_15,41,43
Diversity_89_35,51,51
Diversity_90_2,30,31
Diversity_91_16,43,43
Diversity_92_5,31,31
Diversity_93_1,30,31
Diversity_94_44,64,64
Diversity_95_10,31,31
Diversity_96_22,42,42
Diversity_97_35,51,51
Diversity_98_39,64,64
Diversity_99_52,71,71
Diversity_100_31,43,43
