Company_ID,Expert_E_a_25-year-old_practicing_muslim,Expert_E_a_60-year-old_practicing_christian
Independence_84_50,71,71
Independence_85_70,71,71
Independence_86_23,41,41
Independence_87_57,64,64
Independence_88_55,64,64
Independence_89_75,71,71
Independence_90_25,41,41
Independence_91_18,43,43
Independence_92_58,67,64
Independence_93_50,71,71
Independence_94_55,61,67
Independence_95_73,71,71
Independence_96_55,64,64
Independence_97_68,71,71
Independence_98_16,43,43
Independence_99_36,43,43
Independence_100_51,67,67
PayRatio_1_262,43,43
PayRatio_2_42,42,42
PayRatio_3_33,43,43
PayRatio_4_462,43,43
PayRatio_5_459,31,43
PayRatio_6_177,43,43
PayRatio_7_54,43,43
PayRatio_8_480,31,41
PayRatio_9_316,43,43
PayRatio_10_76,43,43
PayRatio_11_94,43,43
PayRatio_12_448,31,31
PayRatio_13_478,43,41
PayRatio_14_463,43,43
PayRatio_15_48,43,43
PayRatio_16_26,51,43
PayRatio_17_188,41,43
PayRatio_18_295,41,41
PayRatio_19_403,43,43
PayRatio_20_435,43,43
PayRatio_21_298,31,41
PayRatio_22_318,31,41
PayRatio_23_288,43,43
PayRatio_24_468,43,43
PayRatio_25_64,43,43
PayRatio_26_259,43,43
PayRatio_27_235,43,43
PayRatio_28_279,41,41
PayRatio_29_182,43,43
PayRatio_30_234,43,43
PayRatio_31_71,41,43
PayRatio_32_271,43,43
PayRatio_33_380,41,41
PayRatio_34_188,41,43
PayRatio_35_30,51,51
PayRatio_36_87,43,43
PayRatio_37_151,41,43
PayRatio_38_384,43,43
PayRatio_39_421,41,41
PayRatio_40_453,43,43
PayRatio_41_237,43,43
PayRatio_42_127,43,43
PayRatio_43_47,43,43
PayRatio_44_210,43,41
PayRatio_45_367,43,43
PayRatio_46_266,43,43
PayRatio_47_323,43,43
PayRatio_48_60,41,41
PayRatio_49_89,43,43
PayRatio_50_139,43,43
PayRatio_51_154,43,43
PayRatio_52_180,41,41
PayRatio_53_131,41,43
PayRatio_54_383,43,43
PayRatio_55_373,43,43
PayRatio_56_226,43,43
PayRatio_57_221,31,41
PayRatio_58_407,43,43
PayRatio_59_189,43,41
PayRatio_60_132,43,43
PayRatio_61_95,41,41
PayRatio_62_396,31,31
PayRatio_63_313,43,43
PayRatio_64_178,43,43
PayRatio_65_347,41,41
PayRatio_66_416,43,43
PayRatio_67_167,43,43
PayRatio_68_479,31,43
PayRatio_69_418,31,31
PayRatio_70_213,43,43
PayRatio_71_367,43,43
PayRatio_72_426,43,43
PayRatio_73_389,43,43
PayRatio_74_328,43,41
PayRatio_75_169,43,43
PayRatio_76_370,43,41
PayRatio_77_63,43,43
PayRatio_78_486,41,43
PayRatio_79_20,51,51
PayRatio_80_408,43,43
PayRatio_81_376,31,41
PayRatio_82_375,41,41
PayRatio_83_153,43,43
PayRatio_84_308,43,43
PayRatio_85_332,43,43
PayRatio_86_313,43,43
PayRatio_87_314,43,43
PayRatio_88_233,43,43
PayRatio_89_414,43,43
PayRatio_90_322,41,41
PayRatio_91_117,43,43
PayRatio_92_338,43,43
PayRatio_93_273,43,43
PayRatio_94_205,41,41
PayRatio_95_367,43,43
PayRatio_96_36,43,64
PayRatio_97_340,41,43
PayRatio_98_58,43,43
PayRatio_99_123,43,43
PayRatio_100_477,31,31
Diversity_1_46,64,64
Diversity_2_48,71,71
Diversity_3_26,43,43
Diversity_4_25,43,43
Diversity_5_12,43,42
Diversity_6_24,43,42
Diversity_7_32,51,42
Diversity_8_16,43,43
Diversity_9_23,43,43
Diversity_10_32,51,51
Diversity_11_21,43,43
Diversity_12_55,71,71
Diversity_13_15,41,41
Diversity_14_47,67,64
Diversity_15_40,64,64
Diversity_16_54,71,71
Diversity_17_11,41,41
Diversity_18_51,71,71
Diversity_19_27,43,43
Diversity_20_42,64,64
Diversity_21_1,30,20
Diversity_22_11,41,41
Diversity_23_41,64,64
Diversity_24_40,64,64
Diversity_25_23,43,43
Diversity_26_12,43,41
Diversity_27_21,43,43
Diversity_28_2,31,30
Diversity_29_6,31,31
Diversity_30_16,43,43
Diversity_31_27,43,43
Diversity_32_15,43,41
Diversity_33_51,71,71
Diversity_34_24,43,43
Diversity_35_52,71,72
Diversity_36_28,43,42
Diversity_37_21,43,43
Diversity_38_32,51,51
Diversity_39_30,51,51
Diversity_40_57,71,71
Diversity_41_55,71,71
Diversity_42_21,43,43
Diversity_43_6,31,31
Diversity_44_50,71,71
Diversity_45_12,43,41
Diversity_46_47,67,67
Diversity_47_53,71,71
Diversity_48_3,31,31
Diversity_49_56,71,71
Diversity_50_15,41,41
Diversity_51_19,43,43
Diversity_52_43,64,64
Diversity_53_21,43,43
Diversity_54_36,64,64
Diversity_55_30,51,51
Diversity_56_12,43,43
Diversity_57_4,31,31
Diversity_58_29,43,43
Diversity_59_60,71,71
Diversity_60_27,43,43
Diversity_61_44,64,64
Diversity_62_40,64,64
Diversity_63_21,43,43
Diversity_64_55,71,71
Diversity_65_23,43,43
Diversity_66_48,71,71
Diversity_67_12,43,42
Diversity_68_38,64,64
Diversity_69_25,43,43
Diversity_70_2,31,30
Diversity_71_30,51,51
Diversity_72_52,71,71
Diversity_73_33,51,43
Diversity_74_57,71,71
Diversity_75_57,71,71
Diversity_76_46,64,64
Diversity_77_0,31,31
Diversity_78_31,43,51
Diversity_79_37,64,64
Diversity_80_49,64,64
Diversity_81_21,43,43
Diversity_82_44,64,64
Diversity_83_3,31,31
Diversity_84_35,51,51
Diversity_85_40,64,64
Diversity_86_60,71,71
Diversity_87_8,31,31
Diversity_88_12,42,43
Diversity_89_22,42,42
Diversity_90_58,71,72
Diversity_91_41,64,64
Diversity_92_4,31,31
Diversity_93_23,43,43
Diversity_94_57,71,71
Diversity_95_43,64,64
Diversity_96_10,41,40
Diversity_97_1,30,30
Diversity_98_47,67,64
Diversity_99_8,31,31
Diversity_100_34,64,64
