Company_ID,Expert_S_a_practicing_muslim,Expert_S_a_practicing_christian
Accidents_14_16,43,43
Accidents_15_40,41,41
Accidents_16_27,43,43
Accidents_17_68,43,43
Accidents_18_23,43,43
Accidents_19_74,43,43
Accidents_20_92,40,43
Accidents_21_76,43,43
Accidents_22_56,43,43
Accidents_23_18,43,43
Accidents_24_60,41,41
Accidents_25_17,43,43
Accidents_26_88,43,43
Accidents_27_94,40,40
Accidents_28_27,43,43
Accidents_29_8,41,40
Accidents_30_40,41,43
Accidents_31_1,40,41
Accidents_32_99,40,41
Accidents_33_70,40,41
Accidents_34_90,31,31
Accidents_35_42,43,43
Accidents_36_71,40,40
Accidents_37_75,40,43
Accidents_38_56,43,43
Accidents_39_66,43,43
Accidents_40_17,43,43
Accidents_41_66,43,43
Accidents_42_26,43,43
Accidents_43_57,43,43
Accidents_44_19,43,43
Accidents_45_67,43,43
Accidents_46_75,43,41
Accidents_47_59,43,43
Accidents_48_6,41,40
Accidents_49_23,43,43
Accidents_50_15,43,43
Accidents_51_34,43,43
Accidents_52_36,43,43
Accidents_53_98,40,40
Accidents_54_80,41,41
Accidents_55_44,43,43
Accidents_56_47,43,43
Accidents_57_70,40,41
Accidents_58_58,43,43
Accidents_59_78,40,43
Accidents_60_88,43,43
Accidents_61_32,43,43
Accidents_62_6,43,43
Accidents_63_82,43,43
Accidents_64_79,43,43
Accidents_65_22,43,43
Accidents_66_7,43,43
Accidents_67_32,43,43
Accidents_68_75,40,43
Accidents_69_10,40,40
Accidents_70_55,43,43
Accidents_71_12,40,40
Accidents_72_31,43,43
Accidents_73_74,43,43
Accidents_74_98,40,43
Accidents_75_75,43,41
Accidents_76_86,43,43
Accidents_77_83,40,43
Accidents_78_35,43,43
Accidents_79_4,40,40
Accidents_80_69,41,43
Accidents_81_63,41,41
Accidents_82_92,40,41
Accidents_83_38,43,43
Accidents_84_12,40,40
Accidents_85_70,40,40
Accidents_86_92,40,41
Accidents_87_91,40,43
Accidents_88_21,43,43
Accidents_89_47,43,43
Accidents_90_72,40,43
Accidents_91_69,43,43
Accidents_92_91,40,43
Accidents_93_75,43,41
Accidents_94_80,40,41
Accidents_95_29,43,43
Accidents_96_21,43,43
Accidents_97_58,43,43
Accidents_98_98,40,40
Accidents_99_6,40,43
Accidents_100_13,43,43
Rotation_1_10,64,64
Rotation_2_92,30,30
Rotation_3_37,43,43
Rotation_4_1,85,71
Rotation_5_15,64,64
Rotation_6_34,43,43
Rotation_7_85,40,40
Rotation_8_20,64,43
Rotation_9_4,71,71
Rotation_10_94,40,40
Rotation_11_53,43,43
Rotation_12_74,43,43
Rotation_13_18,64,64
Rotation_14_23,43,43
Rotation_15_67,43,43
Rotation_16_75,45,40
Rotation_17_91,41,41
Rotation_18_27,43,43
Rotation_19_52,43,43
Rotation_20_65,45,45
Rotation_21_40,40,40
Rotation_22_20,43,43
Rotation_23_52,43,43
Rotation_24_58,43,43
Rotation_25_65,45,45
Rotation_26_28,64,43
Rotation_27_47,43,43
Rotation_28_58,43,43
Rotation_29_27,43,43
Rotation_30_9,64,64
Rotation_31_56,43,43
Rotation_32_34,43,43
Rotation_33_67,43,43
Rotation_34_43,43,43
Rotation_35_31,43,43
Rotation_36_33,43,43
Rotation_37_60,40,40
Rotation_38_90,40,40
Rotation_39_69,43,43
Rotation_40_93,30,40
Rotation_41_71,41,41
Rotation_42_30,43,43
Rotation_43_74,43,43
Rotation_44_91,41,41
Rotation_45_47,43,43
Rotation_46_75,45,40
Rotation_47_26,64,64
Rotation_48_38,42,43
Rotation_49_69,43,43
Rotation_50_46,43,43
Rotation_51_71,41,41
Rotation_52_15,64,64
Rotation_53_84,41,41
Rotation_54_5,71,71
Rotation_55_45,45,45
Rotation_56_70,40,40
Rotation_57_31,43,43
Rotation_58_63,43,43
Rotation_59_95,40,40
Rotation_60_94,30,40
Rotation_61_6,64,64
Rotation_62_94,30,30
Rotation_63_64,43,43
Rotation_64_52,43,43
Rotation_65_56,43,43
Rotation_66_1,85,82
Rotation_67_44,44,44
Rotation_68_40,40,40
Rotation_69_18,64,64
Rotation_70_10,64,64
Rotation_71_17,64,64
Rotation_72_32,43,43
Rotation_73_89,31,31
Rotation_74_72,43,43
Rotation_75_46,43,43
Rotation_76_49,43,43
Rotation_77_67,43,43
Rotation_78_48,43,43
Rotation_79_26,64,64
Rotation_80_71,41,41
Rotation_81_99,20,20
Rotation_82_24,43,43
Rotation_83_72,43,43
Rotation_84_31,43,43
Rotation_85_56,43,43
Rotation_86_28,43,42
Rotation_87_82,41,40
Rotation_88_23,43,43
Rotation_89_45,45,45
Rotation_90_1,85,71
Rotation_91_65,43,45
Rotation_92_15,64,64
Rotation_93_60,40,40
Rotation_94_45,45,45
Rotation_95_54,43,43
Rotation_96_17,64,64
Rotation_97_65,43,43
Rotation_98_51,43,43
Rotation_99_94,30,30
Rotation_100_89,41,41
