Company_ID,Expert_S_a_25-year-old,Expert_S_a_60-year-old
Paygap_82_33,43,43
Paygap_83_28,43,43
Paygap_84_11,43,43
Paygap_85_29,43,43
Paygap_86_2,64,64
Paygap_87_37,43,43
Paygap_88_31,43,43
Paygap_89_13,43,43
Paygap_90_6,64,64
Paygap_91_20,41,41
Paygap_92_25,43,41
Paygap_93_27,43,43
Paygap_94_9,43,43
Paygap_95_31,43,43
Paygap_96_6,64,64
Paygap_97_32,43,43
Paygap_98_30,41,41
Paygap_99_23,43,43
Paygap_100_34,43,43
Accidents_1_78,43,43
Accidents_2_3,40,40
Accidents_3_86,43,43
Accidents_4_62,43,43
Accidents_5_84,43,41
Accidents_6_89,43,41
Accidents_7_12,40,40
Accidents_8_87,43,43
Accidents_9_51,43,40
Accidents_10_52,43,43
Accidents_11_83,40,40
Accidents_12_97,40,40
Accidents_13_37,43,43
Accidents_14_75,41,41
Accidents_15_24,43,43
Accidents_16_99,40,41
Accidents_17_74,43,43
Accidents_18_52,43,43
Accidents_19_12,40,43
Accidents_20_77,43,40
Accidents_21_74,43,43
Accidents_22_57,43,43
Accidents_23_70,41,40
Accidents_24_83,43,40
Accidents_25_51,40,40
Accidents_26_35,43,43
Accidents_27_66,43,43
Accidents_28_91,40,41
Accidents_29_61,43,43
Accidents_30_94,40,43
Accidents_31_8,40,40
Accidents_32_69,43,43
Accidents_33_88,41,41
Accidents_34_33,43,43
Accidents_35_73,43,43
Accidents_36_81,43,40
Accidents_37_74,43,43
Accidents_38_4,40,40
Accidents_39_90,31,31
Accidents_40_22,43,43
Accidents_41_34,43,43
Accidents_42_7,40,40
Accidents_43_48,43,43
Accidents_44_74,43,43
Accidents_45_51,40,40
Accidents_46_62,43,43
Accidents_47_96,40,40
Accidents_48_99,31,41
Accidents_49_51,40,43
Accidents_50_93,40,41
Accidents_51_10,40,40
Accidents_52_26,43,43
Accidents_53_79,41,41
Accidents_54_44,43,43
Accidents_55_5,40,40
Accidents_56_10,40,40
Accidents_57_24,43,43
Accidents_58_91,40,40
Accidents_59_12,40,40
Accidents_60_66,43,43
Accidents_61_80,41,41
Accidents_62_25,41,43
Accidents_63_73,41,41
Accidents_64_61,43,43
Accidents_65_25,43,43
Accidents_66_27,43,43
Accidents_67_29,43,43
Accidents_68_5,40,40
Accidents_69_61,43,43
Accidents_70_96,41,40
Accidents_71_80,41,41
Accidents_72_30,41,41
Accidents_73_91,40,43
Accidents_74_72,41,43
Accidents_75_8,40,40
Accidents_76_76,43,43
Accidents_77_76,43,43
Accidents_78_42,43,43
Accidents_79_30,41,41
Accidents_80_7,41,43
Accidents_81_10,40,40
Accidents_82_7,41,41
Accidents_83_80,41,41
Accidents_84_26,43,43
Accidents_85_28,43,43
Accidents_86_3,40,40
Accidents_87_10,40,40
Accidents_88_31,43,43
Accidents_89_49,43,43
Accidents_90_51,40,40
Accidents_91_1,41,41
Accidents_92_20,40,40
Accidents_93_44,43,43
Accidents_94_8,40,40
Accidents_95_41,43,43
Accidents_96_1,40,40
Accidents_97_100,40,40
Accidents_98_8,40,40
Accidents_99_84,43,43
Accidents_100_68,43,43
Rotation_1_2,71,71
Rotation_2_19,64,64
Rotation_3_2,71,71
Rotation_4_20,43,43
Rotation_5_12,64,64
Rotation_6_14,64,64
Rotation_7_1,71,71
Rotation_8_57,43,43
Rotation_9_40,40,40
Rotation_10_82,41,40
Rotation_11_50,40,40
Rotation_12_17,64,64
Rotation_13_66,43,43
Rotation_14_45,45,45
Rotation_15_61,43,41
Rotation_16_38,43,43
Rotation_17_84,41,41
Rotation_18_34,43,43
Rotation_19_47,43,43
Rotation_20_46,43,43
Rotation_21_79,43,41
Rotation_22_63,43,43
Rotation_23_55,43,45
Rotation_24_5,71,71
Rotation_25_16,64,64
Rotation_26_10,64,64
Rotation_27_62,43,43
Rotation_28_50,40,40
Rotation_29_95,30,30
Rotation_30_33,43,43
Rotation_31_60,40,40
Rotation_32_47,43,43
Rotation_33_92,30,30
Rotation_34_1,71,71
Rotation_35_76,43,43
Rotation_36_52,43,43
Rotation_37_27,43,43
Rotation_38_58,43,43
Rotation_39_76,43,43
Rotation_40_64,43,43
Rotation_41_35,42,45
Rotation_42_15,64,64
Rotation_43_17,64,64
Rotation_44_58,43,43
Rotation_45_66,43,43
Rotation_46_16,64,64
Rotation_47_52,43,43
Rotation_48_14,64,64
Rotation_49_17,64,64
Rotation_50_68,43,43
Rotation_51_82,41,41
Rotation_52_22,64,64
Rotation_53_17,64,64
Rotation_54_70,40,40
Rotation_55_61,43,41
Rotation_56_81,41,41
Rotation_57_86,43,41
Rotation_58_47,43,43
Rotation_59_93,40,30
Rotation_60_25,43,43
Rotation_61_26,43,64
Rotation_62_5,71,71
Rotation_63_100,20,20
Rotation_64_50,40,40
Rotation_65_12,64,64
Rotation_66_23,43,43
Rotation_67_23,43,43
Rotation_68_89,31,41
Rotation_69_48,43,43
Rotation_70_94,30,40
Rotation_71_39,43,43
Rotation_72_79,43,43
Rotation_73_57,43,43
Rotation_74_88,40,40
Rotation_75_47,43,43
Rotation_76_51,43,43
Rotation_77_27,43,43
Rotation_78_38,43,42
Rotation_79_47,43,43
Rotation_80_7,64,71
Rotation_81_81,41,41
Rotation_82_63,43,43
Rotation_83_50,40,40
Rotation_84_38,43,42
Rotation_85_23,43,43
Rotation_86_22,64,64
Rotation_87_33,43,43
Rotation_88_59,43,43
Rotation_89_42,42,42
Rotation_90_40,40,40
Rotation_91_46,43,43
Rotation_92_73,43,43
Rotation_93_37,43,43
Rotation_94_83,43,43
Rotation_95_42,42,42
Rotation_96_2,71,71
Rotation_97_10,64,64
Rotation_98_1,71,71
Rotation_99_33,43,43
Rotation_100_60,40,40
