Company_ID,Expert_S_a_25-year-old_practicing_muslim,Expert_S_a_60-year-old_practicing_christian
Paygap_79_31,43,43
Paygap_80_10,43,43
Paygap_81_8,43,43
Paygap_82_36,43,43
Paygap_83_1,64,64
Paygap_84_13,43,43
Paygap_85_30,41,43
Paygap_86_35,43,41
Paygap_87_13,43,43
Paygap_88_35,43,41
Paygap_89_25,43,43
Paygap_90_38,43,43
Paygap_91_1,64,64
Paygap_92_9,43,43
Paygap_93_21,43,43
Paygap_94_23,43,43
Paygap_95_8,43,43
Paygap_96_14,43,43
Paygap_97_29,43,43
Paygap_98_1,64,71
Paygap_99_27,43,43
Paygap_100_29,43,43
Accidents_1_34,43,43
Accidents_2_9,43,43
Accidents_3_2,40,40
Accidents_4_84,43,40
Accidents_5_39,43,43
Accidents_6_58,40,43
Accidents_7_40,43,43
Accidents_8_48,43,43
Accidents_9_3,40,40
Accidents_10_46,43,43
Accidents_11_21,43,43
Accidents_12_65,43,43
Accidents_13_84,40,43
Accidents_14_48,43,43
Accidents_15_17,43,43
Accidents_16_29,43,43
Accidents_17_45,43,43
Accidents_18_55,40,43
Accidents_19_88,41,43
Accidents_20_23,43,43
Accidents_21_84,43,43
Accidents_22_94,40,40
Accidents_23_89,43,43
Accidents_24_32,43,43
Accidents_25_65,43,43
Accidents_26_41,43,43
Accidents_27_75,40,43
Accidents_28_36,43,43
Accidents_29_37,43,43
Accidents_30_66,43,43
Accidents_31_80,41,40
Accidents_32_73,40,43
Accidents_33_78,43,43
Accidents_34_39,43,43
Accidents_35_40,41,41
Accidents_36_56,43,43
Accidents_37_26,43,43
Accidents_38_35,43,43
Accidents_39_100,40,40
Accidents_40_49,43,43
Accidents_41_16,43,43
Accidents_42_23,43,43
Accidents_43_51,40,43
Accidents_44_6,40,43
Accidents_45_46,43,43
Accidents_46_10,40,40
Accidents_47_41,43,43
Accidents_48_49,43,43
Accidents_49_36,43,43
Accidents_50_93,40,40
Accidents_51_13,40,40
Accidents_52_47,43,43
Accidents_53_97,40,40
Accidents_54_95,40,41
Accidents_55_99,40,41
Accidents_56_89,43,43
Accidents_57_87,43,43
Accidents_58_43,43,43
Accidents_59_10,40,40
Accidents_60_57,43,43
Accidents_61_70,40,41
Accidents_62_11,40,43
Accidents_63_66,43,43
Accidents_64_36,43,43
Accidents_65_20,40,40
Accidents_66_97,40,40
Accidents_67_7,43,43
Accidents_68_49,43,43
Accidents_69_11,43,43
Accidents_70_55,43,43
Accidents_71_69,41,43
Accidents_72_69,41,43
Accidents_73_76,43,43
Accidents_74_18,43,43
Accidents_75_19,43,43
Accidents_76_59,43,43
Accidents_77_54,43,43
Accidents_78_31,43,43
Accidents_79_98,40,40
Accidents_80_79,40,43
Accidents_81_66,43,43
Accidents_82_66,43,43
Accidents_83_70,40,40
Accidents_84_48,43,43
Accidents_85_84,40,40
Accidents_86_40,41,41
Accidents_87_83,40,40
Accidents_88_88,43,43
Accidents_89_78,43,43
Accidents_90_13,40,43
Accidents_91_35,41,43
Accidents_92_14,43,43
Accidents_93_33,43,43
Accidents_94_58,43,43
Accidents_95_5,40,40
Accidents_96_91,40,43
Accidents_97_49,43,43
Accidents_98_78,40,43
Accidents_99_84,43,43
Accidents_100_51,40,40
Rotation_1_88,40,40
Rotation_2_6,71,71
Rotation_3_4,71,72
Rotation_4_51,43,43
Rotation_5_50,40,40
Rotation_6_22,64,64
Rotation_7_38,42,42
Rotation_8_95,30,30
Rotation_9_88,40,40
Rotation_10_8,64,64
Rotation_11_1,71,82
Rotation_12_4,71,72
Rotation_13_97,20,20
Rotation_14_37,43,43
Rotation_15_74,43,44
Rotation_16_37,43,43
Rotation_17_85,40,40
Rotation_18_9,64,64
Rotation_19_68,43,43
Rotation_20_41,41,41
Rotation_21_37,43,43
Rotation_22_73,43,43
Rotation_23_18,64,64
Rotation_24_94,30,40
Rotation_25_32,43,42
Rotation_26_83,43,43
Rotation_27_15,64,64
Rotation_28_56,43,43
Rotation_29_89,31,40
Rotation_30_24,64,43
Rotation_31_13,64,64
Rotation_32_26,64,64
Rotation_33_72,40,43
Rotation_34_86,43,43
Rotation_35_63,43,43
Rotation_36_21,43,43
Rotation_37_53,43,43
Rotation_38_92,40,40
Rotation_39_44,44,44
Rotation_40_86,43,43
Rotation_41_34,43,43
Rotation_42_63,43,43
Rotation_43_51,43,43
Rotation_44_46,43,43
Rotation_45_73,43,43
Rotation_46_2,71,72
Rotation_47_38,42,43
Rotation_48_49,43,43
Rotation_49_94,30,40
Rotation_50_100,20,20
Rotation_51_85,40,40
Rotation_52_43,43,43
Rotation_53_33,43,43
Rotation_54_27,43,43
Rotation_55_48,43,43
Rotation_56_76,43,43
Rotation_57_7,64,64
Rotation_58_88,40,40
Rotation_59_14,64,64
Rotation_60_22,64,64
Rotation_61_15,64,64
Rotation_62_6,64,64
Rotation_63_40,40,40
Rotation_64_9,64,64
Rotation_65_28,42,42
Rotation_66_74,43,44
Rotation_67_51,43,43
Rotation_68_57,43,43
Rotation_69_47,43,43
Rotation_70_2,71,72
Rotation_71_48,43,43
Rotation_72_42,42,42
Rotation_73_53,43,43
Rotation_74_92,30,40
Rotation_75_85,40,40
Rotation_76_3,71,71
Rotation_77_77,43,43
Rotation_78_84,40,40
Rotation_79_48,43,43
Rotation_80_1,71,82
Rotation_81_91,41,41
Rotation_82_83,43,43
Rotation_83_6,71,64
Rotation_84_19,64,64
Rotation_85_44,44,44
Rotation_86_23,43,43
Rotation_87_90,40,40
Rotation_88_42,42,42
Rotation_89_54,43,43
Rotation_90_70,40,40
Rotation_91_44,44,44
Rotation_92_80,40,40
Rotation_93_52,43,43
Rotation_94_47,43,43
Rotation_95_20,43,43
Rotation_96_19,64,64
Rotation_97_50,40,40
Rotation_98_17,64,64
Rotation_99_11,64,64
Rotation_100_31,43,43
