Company_ID,Expert_S_a_man,Expert_S_a_woman
Accidents_70_85,43,41
Accidents_71_100,40,40
Accidents_72_17,43,43
Accidents_73_33,43,43
Accidents_74_9,43,43
Accidents_75_94,43,43
Accidents_76_55,43,43
Accidents_77_92,43,43
Accidents_78_36,43,43
Accidents_79_77,43,43
Accidents_80_62,43,43
Accidents_81_89,43,43
Accidents_82_78,43,43
Accidents_83_36,43,43
Accidents_84_90,41,41
Accidents_85_26,43,43
Accidents_86_7,43,43
Accidents_87_64,43,43
Accidents_88_28,43,43
Accidents_89_93,43,43
Accidents_90_34,43,43
Accidents_91_21,43,43
Accidents_92_6,43,43
Accidents_93_43,43,43
Accidents_94_49,43,43
Accidents_95_21,43,43
Accidents_96_4,40,43
Accidents_97_17,43,43
Accidents_98_52,43,43
Accidents_99_48,43,43
Accidents_100_21,43,43
Rotation_1_51,43,43
Rotation_2_90,40,40
Rotation_3_23,43,43
Rotation_4_99,20,20
Rotation_5_20,43,43
Rotation_6_62,43,43
Rotation_7_38,43,43
Rotation_8_44,44,44
Rotation_9_74,43,43
Rotation_10_46,43,43
Rotation_11_2,72,71
Rotation_12_21,43,43
Rotation_13_26,64,64
Rotation_14_62,43,43
Rotation_15_46,43,43
Rotation_16_54,43,43
Rotation_17_44,44,44
Rotation_18_27,43,43
Rotation_19_20,43,43
Rotation_20_25,43,43
Rotation_21_13,64,64
Rotation_22_6,71,71
Rotation_23_13,64,64
Rotation_24_69,43,43
Rotation_25_45,45,45
Rotation_26_69,43,43
Rotation_27_55,43,43
Rotation_28_45,45,45
Rotation_29_32,43,43
Rotation_30_59,43,43
Rotation_31_34,43,43
Rotation_32_2,72,71
Rotation_33_85,40,40
Rotation_34_3,71,71
Rotation_35_70,40,40
Rotation_36_37,43,43
Rotation_37_63,43,43
Rotation_38_97,30,30
Rotation_39_82,41,40
Rotation_40_36,43,43
Rotation_41_44,44,44
Rotation_42_27,43,43
Rotation_43_15,64,64
Rotation_44_17,64,64
Rotation_45_81,41,41
Rotation_46_90,40,40
Rotation_47_43,43,43
Rotation_48_12,64,64
Rotation_49_86,43,43
Rotation_50_22,64,64
Rotation_51_75,40,45
Rotation_52_64,43,43
Rotation_53_25,43,43
Rotation_54_97,30,30
Rotation_55_71,43,41
Rotation_56_53,43,43
Rotation_57_73,43,43
Rotation_58_71,43,43
Rotation_59_19,64,64
Rotation_60_6,71,64
Rotation_61_83,43,43
Rotation_62_1,71,71
Rotation_63_39,43,43
Rotation_64_76,43,43
Rotation_65_75,40,45
Rotation_66_14,64,64
Rotation_67_71,41,41
Rotation_68_22,64,64
Rotation_69_7,64,64
Rotation_70_69,43,43
Rotation_71_50,40,40
Rotation_72_4,71,71
Rotation_73_22,64,64
Rotation_74_85,40,45
Rotation_75_66,43,43
Rotation_76_65,45,43
Rotation_77_15,64,64
Rotation_78_93,40,40
Rotation_79_13,64,64
Rotation_80_78,41,41
Rotation_81_22,64,64
Rotation_82_42,42,42
Rotation_83_56,43,43
Rotation_84_97,30,30
Rotation_85_65,45,45
Rotation_86_14,64,64
Rotation_87_64,43,43
Rotation_88_88,41,40
Rotation_89_93,40,30
Rotation_90_91,41,41
Rotation_91_94,30,31
Rotation_92_79,43,43
Rotation_93_98,20,20
Rotation_94_96,30,30
Rotation_95_5,71,71
Rotation_96_31,43,43
Rotation_97_98,20,20
Rotation_98_87,43,43
Rotation_99_29,64,64
Rotation_100_23,43,43
