Company_ID,Expert_E_a_25-year-old,Expert_E_a_60-year-old
Trees_73_140482,64,64
Trees_74_273810,51,43
Trees_75_200805,51,64
Trees_76_108257,64,64
Trees_77_957733,64,64
Trees_78_203099,64,51
Trees_79_871931,64,64
Trees_80_569476,64,64
Trees_81_542607,64,64
Trees_82_596750,64,64
Trees_83_309325,64,64
Trees_84_18474,64,51
Trees_85_745012,64,64
Trees_86_473707,64,64
Trees_87_323412,64,64
Trees_88_525215,64,64
Trees_89_229820,64,64
Trees_90_511725,64,64
Trees_91_537505,64,64
Trees_92_549512,64,64
Trees_93_308229,64,64
Trees_94_401181,64,64
Trees_95_235393,64,51
Trees_96_657228,64,64
Trees_97_944686,64,64
Trees_98_392895,64,64
Trees_99_716474,64,64
Trees_100_467587,64,64
Renewable_1_21,21,21
Renewable_2_49,49,49
Renewable_3_53,53,53
Renewable_4_58,58,58
Renewable_5_90,90,90
Renewable_6_74,74,74
Renewable_7_71,71,71
Renewable_8_74,74,74
Renewable_9_36,36,36
Renewable_10_73,73,73
Renewable_11_2,40,40
Renewable_12_42,42,42
Renewable_13_19,19,19
Renewable_14_63,63,63
Renewable_15_5,31,31
Renewable_16_42,42,42
Renewable_17_13,13,13
Renewable_18_82,82,82
Renewable_19_12,12,12
Renewable_20_95,95,95
Renewable_21_91,91,91
Renewable_22_21,21,21
Renewable_23_8,41,31
Renewable_24_48,48,48
Renewable_25_20,20,20
Renewable_26_17,17,17
Renewable_27_60,60,60
Renewable_28_50,50,50
Renewable_29_76,76,76
Renewable_30_91,91,91
Renewable_31_37,37,37
Renewable_32_87,87,87
Renewable_33_93,93,93
Renewable_34_15,15,15
Renewable_35_88,88,88
Renewable_36_59,59,59
Renewable_37_41,41,41
Renewable_38_85,85,85
Renewable_39_54,54,54
Renewable_40_70,70,70
Renewable_41_46,46,46
Renewable_42_48,48,48
Renewable_43_84,84,84
Renewable_44_17,17,17
Renewable_45_97,97,97
Renewable_46_65,65,65
Renewable_47_50,50,50
Renewable_48_8,41,41
Renewable_49_30,30,30
Renewable_50_61,61,61
Renewable_51_5,31,31
Renewable_52_16,16,16
Renewable_53_59,59,59
Renewable_54_6,41,44
Renewable_55_71,71,71
Renewable_56_80,80,80
Renewable_57_51,51,51
Renewable_58_1,31,31
Renewable_59_35,35,35
Renewable_60_62,62,62
Renewable_61_8,41,41
Renewable_62_33,33,33
Renewable_63_87,87,87
Renewable_64_64,64,64
Renewable_65_44,44,44
Renewable_66_16,16,16
Renewable_67_99,99,99
Renewable_68_53,53,53
Renewable_69_33,33,33
Renewable_70_67,67,67
Renewable_71_90,90,90
Renewable_72_76,76,76
Renewable_73_68,68,68
Renewable_74_73,73,73
Renewable_75_18,18,18
Renewable_76_92,92,92
Renewable_77_50,50,50
Renewable_78_95,95,95
Renewable_79_83,83,83
Renewable_80_3,31,31
Renewable_81_42,42,42
Renewable_82_93,93,93
Renewable_83_79,79,79
Renewable_84_41,41,41
Renewable_85_96,96,96
Renewable_86_12,12,12
Renewable_87_51,51,51
Renewable_88_26,26,26
Renewable_89_81,81,81
Renewable_90_71,71,71
Renewable_91_59,59,59
Renewable_92_1,31,31
Renewable_93_57,57,57
Renewable_94_64,64,64
Renewable_95_42,42,42
Renewable_96_22,22,22
Renewable_97_24,24,24
Renewable_98_40,40,40
Renewable_99_7,31,31
Renewable_100_48,48,48
