Company_ID,Expert_E_a_practicing_muslim_man,Expert_E_a_practicing_christian_woman
Trees_71_544000,64,64
Trees_72_782706,64,64
Trees_73_169367,64,64
Trees_74_545258,64,64
Trees_75_543430,64,64
Trees_76_334539,64,64
Trees_77_455422,64,64
Trees_78_410427,64,64
Trees_79_911127,64,64
Trees_80_695152,64,64
Trees_81_359751,64,64
Trees_82_937475,64,64
Trees_83_666049,64,43
Trees_84_643609,64,64
Trees_85_520727,64,64
Trees_86_155905,64,64
Trees_87_421597,64,64
Trees_88_72595,64,64
Trees_89_840284,64,64
Trees_90_623563,64,64
Trees_91_485622,64,64
Trees_92_501059,64,64
Trees_93_73322,64,64
Trees_94_928660,64,64
Trees_95_810425,64,64
Trees_96_702350,64,64
Trees_97_168173,64,64
Trees_98_947980,64,64
Trees_99_162781,64,64
Trees_100_598129,64,64
Renewable_1_40,40,40
Renewable_2_11,11,11
Renewable_3_10,40,40
Renewable_4_92,92,92
Renewable_5_8,42,41
Renewable_6_87,87,87
Renewable_7_54,54,54
Renewable_8_20,20,20
Renewable_9_70,70,70
Renewable_10_22,22,22
Renewable_11_26,26,26
Renewable_12_66,66,66
Renewable_13_14,14,14
Renewable_14_21,21,21
Renewable_15_24,24,24
Renewable_16_19,19,19
Renewable_17_93,93,93
Renewable_18_41,41,41
Renewable_19_33,33,33
Renewable_20_2,40,40
Renewable_21_52,52,52
Renewable_22_66,66,66
Renewable_23_30,30,30
Renewable_24_93,93,93
Renewable_25_14,14,14
Renewable_26_23,23,23
Renewable_27_19,19,19
Renewable_28_30,30,30
Renewable_29_16,16,16
Renewable_30_93,93,93
Renewable_31_51,51,51
Renewable_32_60,60,60
Renewable_33_47,47,47
Renewable_34_99,99,99
Renewable_35_24,24,24
Renewable_36_61,61,61
Renewable_37_70,70,70
Renewable_38_82,82,82
Renewable_39_11,11,11
Renewable_40_66,66,66
Renewable_41_11,11,11
Renewable_42_74,74,74
Renewable_43_85,85,85
Renewable_44_30,30,30
Renewable_45_100,100,100
Renewable_46_38,38,38
Renewable_47_54,54,54
Renewable_48_60,60,60
Renewable_49_16,16,16
Renewable_50_28,28,28
Renewable_51_29,29,29
Renewable_52_35,35,35
Renewable_53_54,54,54
Renewable_54_18,18,18
Renewable_55_49,49,49
Renewable_56_73,73,73
Renewable_57_62,62,62
Renewable_58_52,52,52
Renewable_59_9,41,41
Renewable_60_2,40,40
Renewable_61_2,40,40
Renewable_62_3,41,31
Renewable_63_95,95,95
Renewable_64_100,100,100
Renewable_65_2,40,40
Renewable_66_13,13,13
Renewable_67_78,78,78
Renewable_68_61,61,61
Renewable_69_2,40,40
Renewable_70_92,92,92
Renewable_71_27,27,27
Renewable_72_46,46,46
Renewable_73_39,39,39
Renewable_74_50,50,50
Renewable_75_8,41,41
Renewable_76_26,26,26
Renewable_77_46,46,46
Renewable_78_74,74,74
Renewable_79_45,45,45
Renewable_80_20,20,20
Renewable_81_61,61,61
Renewable_82_31,31,31
Renewable_83_34,34,34
Renewable_84_50,50,50
Renewable_85_64,64,64
Renewable_86_100,100,100
Renewable_87_2,40,40
Renewable_88_92,92,92
Renewable_89_79,79,79
Renewable_90_76,76,76
Renewable_91_41,41,41
Renewable_92_57,57,57
Renewable_93_40,40,40
Renewable_94_98,98,98
Renewable_95_5,41,41
Renewable_96_21,21,21
Renewable_97_83,83,83
Renewable_98_87,87,87
Renewable_99_54,54,54
Renewable_100_8,41,31
