Company_ID,Expert_S_a_25-year-old_man,Expert_S_a_60-year-old_woman
Rotation_86_25,60,40
Rotation_87_71,60,85
Rotation_88_99,80,80
Rotation_89_88,60,80
Rotation_90_69,60,85
Rotation_91_86,60,80
Rotation_92_35,60,40
Rotation_93_42,60,60
Rotation_94_77,60,85
Rotation_95_15,60,40
Rotation_96_82,60,80
Rotation_97_33,60,40
Rotation_98_86,60,80
Rotation_99_93,80,80
Rotation_100_48,60,72
