Company_ID,Expert_S_a_man,Expert_S_a_woman
Accidents_6_59,60,60
Accidents_7_69,60,60
Accidents_8_23,60,60
Accidents_9_25,60,60
Accidents_10_66,60,60
Accidents_11_83,60,60
Accidents_12_92,60,60
Accidents_13_18,60,60
Accidents_14_13,60,60
Accidents_15_87,60,60
Accidents_16_85,60,60
Accidents_17_48,60,60
Accidents_18_25,60,60
Accidents_19_7,60,60
Accidents_20_84,60,60
Accidents_21_84,60,60
Accidents_22_41,60,60
Accidents_23_62,60,60
Accidents_24_40,60,60
Accidents_25_59,60,60
Accidents_26_63,80,80
Accidents_27_44,60,60
Accidents_28_26,60,60
Accidents_29_24,60,60
Accidents_30_87,60,60
Accidents_31_36,60,60
Accidents_32_17,60,60
Accidents_33_44,60,60
Accidents_34_18,60,60
Accidents_35_34,60,60
Accidents_36_87,60,60
Accidents_37_44,60,60
Accidents_38_66,60,60
Accidents_39_65,60,60
Accidents_40_74,60,60
Accidents_41_53,60,60
Accidents_42_11,60,60
Accidents_43_84,60,60
Accidents_44_81,60,60
Accidents_45_40,60,60
Accidents_46_82,60,60
Accidents_47_19,60,60
Accidents_48_66,60,60
Accidents_49_38,60,60
Accidents_50_92,60,60
Accidents_51_16,60,60
Accidents_52_62,60,60
Accidents_53_1,80,80
Accidents_54_75,60,60
Accidents_55_92,60,60
Accidents_56_27,60,60
Accidents_57_12,60,60
Accidents_58_90,60,60
Accidents_59_5,60,60
Accidents_60_17,60,60
Accidents_61_79,60,60
Accidents_62_14,60,60
Accidents_63_72,60,60
Accidents_64_23,60,60
Accidents_65_38,60,60
Accidents_66_88,60,60
Accidents_67_7,60,60
Accidents_68_10,60,60
Accidents_69_85,60,60
Accidents_70_9,60,60
Accidents_71_2,60,60
Accidents_72_50,80,60
Accidents_73_53,60,60
Accidents_74_82,60,60
Accidents_75_6,60,60
Accidents_76_18,60,60
Accidents_77_53,60,60
Accidents_78_1,80,80
Accidents_79_13,60,60
Accidents_80_35,60,60
Accidents_81_53,60,60
Accidents_82_96,60,60
Accidents_83_79,60,60
Accidents_84_23,60,60
Accidents_85_21,60,60
Accidents_86_42,60,60
Accidents_87_80,60,60
Accidents_88_50,60,80
Accidents_89_55,60,60
Accidents_90_33,60,60
Accidents_91_76,60,60
Accidents_92_77,60,60
Accidents_93_84,60,60
Accidents_94_37,60,60
Accidents_95_38,60,60
Accidents_96_9,60,60
Accidents_97_77,60,60
Accidents_98_21,60,60
Accidents_99_15,60,60
Accidents_100_17,60,60
Rotation_1_83,60,60
Rotation_2_14,60,60
Rotation_3_37,60,60
Rotation_4_18,60,60
Rotation_5_95,80,80
Rotation_6_35,60,60
Rotation_7_94,80,80
Rotation_8_12,60,60
Rotation_9_31,42,42
Rotation_10_62,60,60
Rotation_11_1,20,20
Rotation_12_10,60,60
Rotation_13_82,60,60
Rotation_14_81,60,60
Rotation_15_64,60,60
Rotation_16_29,42,60
Rotation_17_100,80,80
Rotation_18_100,80,80
Rotation_19_10,60,60
Rotation_20_40,60,60
Rotation_21_60,40,40
Rotation_22_99,80,80
Rotation_23_93,80,80
Rotation_24_58,72,60
Rotation_25_16,60,60
Rotation_26_15,60,60
Rotation_27_49,60,60
Rotation_28_19,60,60
Rotation_29_4,20,20
Rotation_30_17,60,60
Rotation_31_33,60,60
Rotation_32_72,60,60
Rotation_33_64,60,60
Rotation_34_42,60,60
Rotation_35_72,60,60
Rotation_36_92,80,80
Rotation_37_88,60,60
Rotation_38_70,60,60
Rotation_39_3,20,20
Rotation_40_53,60,60
Rotation_41_89,60,60
Rotation_42_80,60,60
Rotation_43_56,60,60
Rotation_44_27,60,60
Rotation_45_73,60,60
Rotation_46_11,42,60
Rotation_47_43,60,60
Rotation_48_90,80,80
Rotation_49_27,60,60
Rotation_50_31,42,60
Rotation_51_86,60,60
Rotation_52_31,42,60
Rotation_53_25,60,60
Rotation_54_63,75,75
Rotation_55_31,42,60
Rotation_56_97,80,80
Rotation_57_57,60,60
Rotation_58_20,60,60
Rotation_59_56,60,60
Rotation_60_24,60,60
Rotation_61_81,60,60
Rotation_62_58,72,72
Rotation_63_66,60,60
Rotation_64_56,60,60
Rotation_65_45,60,60
Rotation_66_1,20,20
Rotation_67_32,60,60
Rotation_68_12,60,60
Rotation_69_58,60,72
Rotation_70_39,60,60
Rotation_71_36,60,60
Rotation_72_58,72,72
Rotation_73_95,80,80
Rotation_74_51,60,60
Rotation_75_57,60,60
Rotation_76_2,20,20
Rotation_77_19,60,60
Rotation_78_40,60,60
Rotation_79_25,60,60
Rotation_80_69,60,60
Rotation_81_52,60,60
Rotation_82_19,60,60
Rotation_83_95,80,80
Rotation_84_29,60,60
Rotation_85_35,60,60
Rotation_86_56,60,60
Rotation_87_23,60,60
Rotation_88_50,60,60
Rotation_89_36,60,60
Rotation_90_46,60,60
Rotation_91_25,60,60
Rotation_92_22,60,60
Rotation_93_39,60,60
Rotation_94_31,42,60
Rotation_95_61,72,60
Rotation_96_74,60,60
Rotation_97_17,60,60
Rotation_98_95,80,80
Rotation_99_40,60,60
Rotation_100_11,60,60
