Company_ID,Expert_S_a_25-year-old_practicing_muslim,Expert_S_a_60-year-old_practicing_christian
Paygap_76_34,60,72
Paygap_77_28,60,72
Paygap_78_31,60,67
Paygap_79_21,60,75
Paygap_80_21,60,67
Paygap_81_35,60,75
Paygap_82_17,60,72
Paygap_83_27,60,45
Paygap_84_21,60,75
Paygap_85_14,60,72
Paygap_86_13,60,42
Paygap_87_38,60,72
Paygap_88_31,60,67
Paygap_89_12,60,72
Paygap_90_17,60,72
Paygap_91_6,60,72
Paygap_92_20,60,40
Paygap_93_38,60,72
Paygap_94_12,60,72
Paygap_95_5,60,40
Paygap_96_11,60,72
Paygap_97_31,60,42
Paygap_98_14,60,72
Paygap_99_7,60,40
Paygap_100_4,60,72
Accidents_1_90,60,80
Accidents_2_50,60,80
Accidents_3_83,60,80
Accidents_4_70,60,80
Accidents_5_60,80,80
Accidents_6_48,60,80
Accidents_7_75,80,80
Accidents_8_37,60,80
Accidents_9_73,60,80
Accidents_10_31,60,80
Accidents_11_74,60,80
Accidents_12_45,60,80
Accidents_13_3,60,80
Accidents_14_99,80,80
Accidents_15_40,60,80
Accidents_16_76,60,80
Accidents_17_5,60,80
Accidents_18_100,80,80
Accidents_19_58,60,80
Accidents_20_75,60,80
Accidents_21_1,80,80
Accidents_22_8,60,80
Accidents_23_88,60,80
Accidents_24_65,60,80
Accidents_25_6,60,80
Accidents_26_85,60,80
Accidents_27_57,60,80
Accidents_28_34,60,80
Accidents_29_47,60,80
Accidents_30_32,60,80
Accidents_31_10,80,80
Accidents_32_50,80,80
Accidents_33_72,60,80
Accidents_34_92,60,80
Accidents_35_41,60,80
Accidents_36_60,80,80
Accidents_37_33,60,80
Accidents_38_71,60,80
Accidents_39_40,60,80
Accidents_40_21,60,80
Accidents_41_29,60,80
Accidents_42_72,60,80
Accidents_43_3,60,80
Accidents_44_43,60,80
Accidents_45_89,60,80
Accidents_46_98,80,80
Accidents_47_45,60,80
Accidents_48_66,60,80
Accidents_49_68,60,80
Accidents_50_78,60,80
Accidents_51_15,60,80
Accidents_52_31,60,80
Accidents_53_54,60,80
Accidents_54_76,60,80
Accidents_55_57,60,80
Accidents_56_67,60,80
Accidents_57_20,60,80
Accidents_58_40,60,80
Accidents_59_69,60,80
Accidents_60_6,60,80
Accidents_61_42,60,80
Accidents_62_9,60,80
Accidents_63_37,60,80
Accidents_64_67,60,80
Accidents_65_33,60,80
Accidents_66_10,60,80
Accidents_67_27,60,80
Accidents_68_76,60,80
Accidents_69_46,60,80
Accidents_70_82,60,80
Accidents_71_57,60,80
Accidents_72_70,60,80
Accidents_73_77,60,80
Accidents_74_36,60,80
Accidents_75_2,60,80
Accidents_76_68,60,80
Accidents_77_6,60,80
Accidents_78_95,80,80
Accidents_79_68,60,80
Accidents_80_98,80,80
Accidents_81_20,60,80
Accidents_82_8,60,80
Accidents_83_10,80,80
Accidents_84_74,60,80
Accidents_85_68,60,80
Accidents_86_92,60,80
Accidents_87_81,60,80
Accidents_88_85,60,80
Accidents_89_60,80,80
Accidents_90_20,60,80
Accidents_91_10,80,80
Accidents_92_3,80,80
Accidents_93_46,60,80
Accidents_94_1,80,80
Accidents_95_28,60,80
Accidents_96_6,60,80
Accidents_97_13,60,80
Accidents_98_20,60,80
Accidents_99_78,60,80
Accidents_100_59,60,80
Rotation_1_6,20,20
Rotation_2_80,60,60
Rotation_3_70,60,80
Rotation_4_75,60,80
Rotation_5_79,60,60
Rotation_6_2,20,20
Rotation_7_50,60,80
Rotation_8_17,60,40
Rotation_9_27,60,40
Rotation_10_15,60,40
Rotation_11_38,60,72
Rotation_12_60,40,80
Rotation_13_38,60,72
Rotation_14_88,60,80
Rotation_15_12,60,40
Rotation_16_76,60,80
Rotation_17_54,60,60
Rotation_18_39,60,60
Rotation_19_87,80,80
Rotation_20_86,60,80
Rotation_21_13,60,40
Rotation_22_98,80,80
Rotation_23_53,60,60
Rotation_24_100,80,80
Rotation_25_60,40,80
Rotation_26_51,60,60
Rotation_27_45,60,60
Rotation_28_35,60,40
Rotation_29_77,60,85
Rotation_30_18,60,40
Rotation_31_44,60,60
Rotation_32_58,60,72
Rotation_33_21,60,40
Rotation_34_95,80,80
Rotation_35_91,80,80
Rotation_36_90,80,80
Rotation_37_77,60,80
Rotation_38_70,60,80
Rotation_39_50,60,80
Rotation_40_30,60,40
Rotation_41_75,60,80
Rotation_42_26,60,40
Rotation_43_67,60,85
Rotation_44_89,80,80
Rotation_45_64,60,72
Rotation_46_96,80,80
Rotation_47_28,60,40
Rotation_48_39,60,60
Rotation_49_77,60,85
Rotation_50_76,60,80
Rotation_51_2,20,20
Rotation_52_85,60,80
Rotation_53_41,60,60
Rotation_54_68,60,72
Rotation_55_3,20,20
Rotation_56_82,60,80
Rotation_57_16,60,40
Rotation_58_36,60,40
Rotation_59_74,60,60
Rotation_60_82,60,80
Rotation_61_90,80,80
Rotation_62_51,60,75
Rotation_63_81,60,60
Rotation_64_56,60,72
Rotation_65_57,60,75
Rotation_66_89,80,80
Rotation_67_80,60,60
Rotation_68_6,20,20
Rotation_69_7,60,20
Rotation_70_31,60,40
Rotation_71_31,60,40
Rotation_72_78,60,60
Rotation_73_72,60,80
Rotation_74_70,60,80
Rotation_75_98,80,80
Rotation_76_70,60,80
Rotation_77_85,60,80
Rotation_78_82,60,80
Rotation_79_76,60,80
Rotation_80_83,60,75
Rotation_81_52,60,60
Rotation_82_10,60,40
Rotation_83_62,60,40
Rotation_84_50,60,80
Rotation_85_93,80,80
Rotation_86_30,60,40
Rotation_87_51,60,75
Rotation_88_17,60,40
Rotation_89_99,80,80
Rotation_90_11,60,40
Rotation_91_19,60,40
Rotation_92_24,60,40
Rotation_93_85,60,80
Rotation_94_76,60,80
Rotation_95_19,60,40
Rotation_96_64,60,72
Rotation_97_62,60,75
Rotation_98_56,60,72
Rotation_99_91,80,80
Rotation_100_49,60,72
