Company_ID,Expert_S_a_practicing_muslim,Expert_S_a_practicing_christian
Accidents_10_31,60,60
Accidents_11_30,60,60
Accidents_12_100,80,80
Accidents_13_1,80,80
Accidents_14_5,60,60
Accidents_15_9,60,60
Accidents_16_50,80,60
Accidents_17_17,60,60
Accidents_18_72,60,60
Accidents_19_34,60,60
Accidents_20_45,60,60
Accidents_21_66,60,60
Accidents_22_20,60,60
Accidents_23_90,60,60
Accidents_24_37,60,60
Accidents_25_11,60,60
Accidents_26_39,60,60
Accidents_27_2,60,60
Accidents_28_18,60,60
Accidents_29_1,80,80
Accidents_30_43,60,60
Accidents_31_83,60,60
Accidents_32_67,60,60
Accidents_33_5,60,60
Accidents_34_32,60,60
Accidents_35_49,60,60
Accidents_36_3,60,80
Accidents_37_7,60,60
Accidents_38_61,60,60
Accidents_39_42,60,60
Accidents_40_68,60,60
Accidents_41_77,60,60
Accidents_42_59,60,60
Accidents_43_44,60,60
Accidents_44_3,60,60
Accidents_45_91,60,60
Accidents_46_18,60,60
Accidents_47_40,60,60
Accidents_48_37,60,60
Accidents_49_24,60,60
Accidents_50_37,60,60
Accidents_51_95,60,60
Accidents_52_12,60,60
Accidents_53_26,60,60
Accidents_54_67,60,60
Accidents_55_50,80,60
Accidents_56_46,60,60
Accidents_57_89,60,60
Accidents_58_63,80,60
Accidents_59_9,60,60
Accidents_60_52,60,60
Accidents_61_56,60,60
Accidents_62_16,60,60
Accidents_63_54,60,60
Accidents_64_58,60,60
Accidents_65_87,60,60
Accidents_66_94,60,60
Accidents_67_48,60,60
Accidents_68_55,60,60
Accidents_69_81,60,60
Accidents_70_7,60,60
Accidents_71_73,60,60
Accidents_72_98,60,60
Accidents_73_19,60,60
Accidents_74_20,60,60
Accidents_75_78,60,60
Accidents_76_89,60,60
Accidents_77_33,60,60
Accidents_78_79,60,60
Accidents_79_66,60,60
Accidents_80_73,60,60
Accidents_81_60,80,80
Accidents_82_7,60,60
Accidents_83_68,60,60
Accidents_84_65,60,80
Accidents_85_64,60,60
Accidents_86_100,80,80
Accidents_87_38,60,60
Accidents_88_73,60,60
Accidents_89_26,60,60
Accidents_90_96,60,60
Accidents_91_16,60,60
Accidents_92_32,60,60
Accidents_93_31,60,60
Accidents_94_58,60,60
Accidents_95_14,60,60
Accidents_96_67,60,60
Accidents_97_40,60,60
Accidents_98_41,60,60
Accidents_99_61,60,80
Accidents_100_25,60,60
Rotation_1_78,60,60
Rotation_2_52,60,60
Rotation_3_48,60,60
Rotation_4_76,60,60
Rotation_5_90,80,80
Rotation_6_73,60,60
Rotation_7_62,60,60
Rotation_8_18,60,60
Rotation_9_6,40,40
Rotation_10_47,60,60
Rotation_11_3,20,20
Rotation_12_9,60,60
Rotation_13_41,60,60
Rotation_14_82,60,60
Rotation_15_88,60,60
Rotation_16_54,60,60
Rotation_17_49,60,60
Rotation_18_2,20,20
Rotation_19_100,80,80
Rotation_20_81,60,60
Rotation_21_83,60,60
Rotation_22_60,40,40
Rotation_23_99,80,80
Rotation_24_90,80,80
Rotation_25_90,80,80
Rotation_26_100,80,80
Rotation_27_66,60,60
Rotation_28_79,60,60
Rotation_29_84,60,60
Rotation_30_9,60,60
Rotation_31_65,60,60
Rotation_32_83,60,60
Rotation_33_18,60,60
Rotation_34_32,60,60
Rotation_35_91,80,80
Rotation_36_24,60,60
Rotation_37_85,60,60
Rotation_38_6,60,40
Rotation_39_95,80,80
Rotation_40_8,60,60
Rotation_41_68,60,60
Rotation_42_25,60,60
Rotation_43_99,80,80
Rotation_44_17,60,60
Rotation_45_79,60,60
Rotation_46_89,60,80
Rotation_47_45,60,60
Rotation_48_43,60,60
Rotation_49_14,60,60
Rotation_50_73,60,60
Rotation_51_93,80,80
Rotation_52_66,60,60
Rotation_53_90,80,80
Rotation_54_13,60,60
Rotation_55_93,80,80
Rotation_56_27,60,60
Rotation_57_11,60,60
Rotation_58_95,80,80
Rotation_59_5,20,20
Rotation_60_47,60,60
Rotation_61_9,60,60
Rotation_62_70,60,60
Rotation_63_100,80,80
Rotation_64_27,60,60
Rotation_65_16,60,60
Rotation_66_12,60,60
Rotation_67_24,60,60
Rotation_68_73,60,60
Rotation_69_2,20,20
Rotation_70_31,60,60
Rotation_71_25,60,60
Rotation_72_93,80,80
Rotation_73_58,60,60
Rotation_74_87,60,60
Rotation_75_64,60,60
Rotation_76_46,60,60
Rotation_77_33,60,60
Rotation_78_69,60,60
Rotation_79_12,60,60
Rotation_80_7,60,60
Rotation_81_11,60,60
Rotation_82_47,60,60
Rotation_83_93,80,80
Rotation_84_48,60,60
Rotation_85_26,60,60
Rotation_86_38,60,60
Rotation_87_37,60,60
Rotation_88_64,60,60
Rotation_89_93,80,80
Rotation_90_7,60,60
Rotation_91_81,60,60
Rotation_92_20,60,60
Rotation_93_6,60,20
Rotation_94_75,60,60
Rotation_95_74,60,60
Rotation_96_20,60,60
Rotation_97_11,60,60
Rotation_98_39,60,60
Rotation_99_28,60,60
Rotation_100_74,60,60
