Company_ID,Expert_E_a_25-year-old,Expert_E_a_60-year-old
Trees_67_23920,60,42
Trees_68_180155,60,40
Trees_69_415005,60,42
Trees_70_459066,60,40
Trees_71_361833,60,40
Trees_72_522900,60,40
Trees_73_151283,60,40
Trees_74_288433,60,40
Trees_75_407495,60,40
Trees_76_681867,60,40
Trees_77_983041,60,42
Trees_78_781124,60,42
Trees_79_213723,60,40
Trees_80_661465,60,40
Trees_81_733894,60,40
Trees_82_450184,60,40
Trees_83_635859,60,40
Trees_84_28565,60,42
Trees_85_505935,60,42
Trees_86_289241,60,40
Trees_87_267233,60,40
Trees_88_592542,60,40
Trees_89_477570,60,40
Trees_90_754680,60,42
Trees_91_359514,60,42
Trees_92_835055,60,40
Trees_93_129840,60,40
Trees_94_389229,60,42
Trees_95_966859,60,40
Trees_96_355246,60,40
Trees_97_37783,60,42
Trees_98_839253,60,40
Trees_99_526784,60,40
Trees_100_194162,60,40
Renewable_1_65,72,72
Renewable_2_95,85,85
Renewable_3_24,42,42
Renewable_4_69,72,72
Renewable_5_90,85,85
Renewable_6_38,42,42
Renewable_7_81,72,85
Renewable_8_8,42,42
Renewable_9_42,68,68
Renewable_10_7,42,42
Renewable_11_23,42,42
Renewable_12_20,40,40
Renewable_13_16,42,42
Renewable_14_68,72,72
Renewable_15_29,42,42
Renewable_16_26,42,42
Renewable_17_11,42,42
Renewable_18_71,82,82
Renewable_19_49,72,42
Renewable_20_51,67,42
Renewable_21_98,92,92
Renewable_22_51,67,42
Renewable_23_74,82,82
Renewable_24_44,42,42
Renewable_25_29,42,42
Renewable_26_56,72,72
Renewable_27_72,64,64
Renewable_28_60,72,85
Renewable_29_86,72,82
Renewable_30_6,40,40
Renewable_31_46,72,42
Renewable_32_65,72,72
Renewable_33_96,92,92
Renewable_34_9,60,42
Renewable_35_63,72,72
Renewable_36_50,42,42
Renewable_37_75,82,82
Renewable_38_21,43,43
Renewable_39_93,85,85
Renewable_40_62,72,72
Renewable_41_81,72,72
Renewable_42_35,42,42
Renewable_43_57,72,72
Renewable_44_23,42,42
Renewable_45_51,67,42
Renewable_46_56,72,72
Renewable_47_85,72,72
Renewable_48_78,72,72
Renewable_49_19,43,43
Renewable_50_1,20,20
Renewable_51_35,42,42
Renewable_52_52,68,42
Renewable_53_23,42,42
Renewable_54_65,72,72
Renewable_55_75,82,82
Renewable_56_45,42,42
Renewable_57_43,72,43
Renewable_58_89,82,82
Renewable_59_24,42,42
Renewable_60_73,64,82
Renewable_61_73,82,82
Renewable_62_57,72,72
Renewable_63_14,42,42
Renewable_64_87,82,82
Renewable_65_18,42,42
Renewable_66_74,82,82
Renewable_67_6,40,42
Renewable_68_99,98,85
Renewable_69_90,85,85
Renewable_70_90,85,85
Renewable_71_63,72,72
Renewable_72_71,64,64
Renewable_73_11,60,42
Renewable_74_25,40,42
Renewable_75_96,92,82
Renewable_76_42,68,68
Renewable_77_13,42,42
Renewable_78_87,82,82
Renewable_79_9,42,42
Renewable_80_36,42,42
Renewable_81_58,72,72
Renewable_82_38,72,42
Renewable_83_92,85,85
Renewable_84_57,72,72
Renewable_85_37,42,42
Renewable_86_34,42,42
Renewable_87_53,67,72
Renewable_88_28,42,42
Renewable_89_79,72,72
Renewable_90_53,67,67
Renewable_91_25,40,42
Renewable_92_88,82,82
Renewable_93_52,68,42
Renewable_94_3,40,40
Renewable_95_31,42,42
Renewable_96_30,40,40
Renewable_97_80,72,72
Renewable_98_50,60,42
Renewable_99_40,60,42
Renewable_100_59,72,72
