Company_ID,Expert_E_a_practicing_muslim_man,Expert_E_a_practicing_christian_woman
Trees_64_156031,60,60
Trees_65_167367,60,60
Trees_66_829155,60,60
Trees_67_242244,60,60
Trees_68_56252,60,60
Trees_69_29147,60,60
Trees_70_979607,60,60
Trees_71_791900,60,60
Trees_72_625961,60,60
Trees_73_683255,60,60
Trees_74_462888,60,60
Trees_75_196265,60,60
Trees_76_232955,60,60
Trees_77_78693,60,60
Trees_78_923160,60,60
Trees_79_920736,60,60
Trees_80_807120,60,60
Trees_81_67420,60,60
Trees_82_957226,60,60
Trees_83_195429,60,60
Trees_84_883460,60,60
Trees_85_657335,60,60
Trees_86_521637,60,60
Trees_87_421857,60,60
Trees_88_81877,60,60
Trees_89_193750,60,60
Trees_90_645212,60,60
Trees_91_752481,60,60
Trees_92_370608,60,60
Trees_93_838969,60,60
Trees_94_493080,60,60
Trees_95_448988,60,60
Trees_96_659644,60,60
Trees_97_216569,60,60
Trees_98_402041,60,60
Trees_99_331544,60,60
Trees_100_564139,60,60
Renewable_1_63,72,63
Renewable_2_1,20,20
Renewable_3_72,64,64
Renewable_4_12,60,40
Renewable_5_94,82,82
Renewable_6_22,68,68
Renewable_7_98,92,92
Renewable_8_17,42,42
Renewable_9_16,42,42
Renewable_10_14,42,42
Renewable_11_71,64,64
Renewable_12_80,72,72
Renewable_13_94,82,82
Renewable_14_29,42,42
Renewable_15_54,72,72
Renewable_16_4,60,60
Renewable_17_23,42,42
Renewable_18_9,42,42
Renewable_19_20,40,40
Renewable_20_52,64,64
Renewable_21_53,67,72
Renewable_22_52,64,64
Renewable_23_71,64,64
Renewable_24_13,42,42
Renewable_25_88,82,82
Renewable_26_78,72,72
Renewable_27_82,72,72
Renewable_28_54,72,72
Renewable_29_73,64,64
Renewable_30_29,42,42
Renewable_31_90,85,85
Renewable_32_29,42,42
Renewable_33_56,72,72
Renewable_34_57,72,72
Renewable_35_81,72,72
Renewable_36_46,72,72
Renewable_37_19,43,43
Renewable_38_51,67,67
Renewable_39_72,64,64
Renewable_40_9,42,42
Renewable_41_14,42,42
Renewable_42_11,42,60
Renewable_43_44,72,72
Renewable_44_51,67,67
Renewable_45_86,72,72
Renewable_46_73,64,64
Renewable_47_97,85,85
Renewable_48_74,82,82
Renewable_49_4,60,60
Renewable_50_41,67,42
Renewable_51_75,82,82
Renewable_52_56,72,72
Renewable_53_48,72,42
Renewable_54_60,72,72
Renewable_55_17,42,42
Renewable_56_25,42,42
Renewable_57_44,72,72
Renewable_58_97,85,85
Renewable_59_13,42,42
Renewable_60_64,72,72
Renewable_61_44,72,72
Renewable_62_56,72,72
Renewable_63_9,42,42
Renewable_64_10,40,40
Renewable_65_87,82,82
Renewable_66_92,85,85
Renewable_67_84,72,72
Renewable_68_96,82,82
Renewable_69_2,40,40
Renewable_70_41,67,67
Renewable_71_78,72,72
Renewable_72_56,72,72
Renewable_73_5,60,40
Renewable_74_41,67,67
Renewable_75_41,67,67
Renewable_76_38,72,42
Renewable_77_6,40,40
Renewable_78_91,85,85
Renewable_79_49,72,72
Renewable_80_89,82,85
Renewable_81_84,72,72
Renewable_82_68,72,72
Renewable_83_9,42,42
Renewable_84_91,85,85
Renewable_85_46,72,72
Renewable_86_7,42,42
Renewable_87_15,40,40
Renewable_88_66,72,72
Renewable_89_7,42,42
Renewable_90_40,60,60
Renewable_91_47,72,42
Renewable_92_11,42,42
Renewable_93_77,72,72
Renewable_94_100,80,98
Renewable_95_87,82,82
Renewable_96_35,42,42
Renewable_97_52,64,68
Renewable_98_47,72,42
Renewable_99_67,72,72
Renewable_100_92,85,85
