Company_ID,Expert_E_a_man,Expert_E_a_woman
Carbon_78_31,60,60
Carbon_79_22,60,60
Carbon_80_63,85,85
Carbon_81_37,85,85
Carbon_82_87,95,80
Carbon_83_90,20,80
Carbon_84_44,85,85
Carbon_85_28,60,60
Carbon_86_94,20,20
Carbon_87_24,60,60
Carbon_88_48,85,80
Carbon_89_92,80,80
Carbon_90_30,60,60
Carbon_91_29,60,60
Carbon_92_46,85,85
Carbon_93_80,90,90
Carbon_94_81,90,90
Carbon_95_86,80,80
Carbon_96_84,80,80
Carbon_97_56,85,80
Carbon_98_4,60,60
Carbon_99_58,80,80
Carbon_100_35,60,80
Trees_1_41694,60,60
Trees_2_280949,60,60
Trees_3_232524,60,60
Trees_4_847806,60,60
Trees_5_138067,60,60
Trees_6_573706,60,60
Trees_7_86392,60,60
Trees_8_962177,60,60
Trees_9_745135,60,60
Trees_10_442579,60,60
Trees_11_964684,60,60
Trees_12_457366,60,60
Trees_13_585510,60,60
Trees_14_763359,42,60
Trees_15_150193,60,60
Trees_16_912883,60,60
Trees_17_155865,60,60
Trees_18_680332,42,60
Trees_19_631693,60,60
Trees_20_504263,60,60
Trees_21_607350,60,60
Trees_22_685615,42,42
Trees_23_937317,60,60
Trees_24_608510,60,60
Trees_25_937839,60,60
Trees_26_995243,42,60
Trees_27_227912,60,60
Trees_28_193532,60,60
Trees_29_959393,60,60
Trees_30_254093,60,60
Trees_31_175392,60,60
Trees_32_921358,60,60
Trees_33_67163,42,60
Trees_34_291960,60,60
Trees_35_620699,60,60
Trees_36_681399,60,60
Trees_37_327190,60,60
Trees_38_717106,60,60
Trees_39_514597,60,60
Trees_40_731967,60,60
Trees_41_487341,60,60
Trees_42_467835,60,60
Trees_43_907837,60,60
Trees_44_584969,60,60
Trees_45_49760,60,60
Trees_46_66845,60,60
Trees_47_531010,60,60
Trees_48_263749,42,42
Trees_49_261173,60,60
Trees_50_947632,60,60
Trees_51_254267,60,60
Trees_52_92001,60,60
Trees_53_714075,60,60
Trees_54_257007,60,60
Trees_55_464191,60,60
Trees_56_142769,60,60
Trees_57_405884,60,60
Trees_58_304258,60,60
Trees_59_211293,60,60
Trees_60_37502,60,60
Trees_61_929409,60,60
Trees_62_836544,60,60
Trees_63_829780,60,60
Trees_64_188745,60,60
Trees_65_881675,42,60
Trees_66_61378,60,60
Trees_67_136842,60,60
Trees_68_389223,60,60
Trees_69_561468,60,60
Trees_70_934965,60,60
Trees_71_758940,42,60
Trees_72_683072,60,60
Trees_73_198442,60,60
Trees_74_862176,60,60
Trees_75_555676,42,42
Trees_76_846055,60,60
Trees_77_960939,60,60
Trees_78_486852,60,60
Trees_79_755100,60,60
Trees_80_539798,60,60
Trees_81_776928,60,60
Trees_82_712939,60,60
Trees_83_254489,60,60
Trees_84_76206,60,60
Trees_85_816328,60,60
Trees_86_990574,60,60
Trees_87_531352,60,60
Trees_88_813368,60,60
Trees_89_347350,60,60
Trees_90_430516,60,60
Trees_91_93948,60,60
Trees_92_10591,60,60
Trees_93_707475,60,60
Trees_94_806598,60,60
Trees_95_588810,60,60
Trees_96_980348,60,60
Trees_97_98832,60,60
Trees_98_521507,60,60
Trees_99_654234,42,60
Trees_100_326403,60,60
Renewable_1_58,72,72
Renewable_2_81,72,72
Renewable_3_1,20,20
Renewable_4_59,72,72
Renewable_5_10,40,40
Renewable_6_40,60,60
Renewable_7_21,43,43
Renewable_8_5,30,60
Renewable_9_2,40,40
Renewable_10_98,92,92
Renewable_11_22,68,68
Renewable_12_61,72,72
Renewable_13_31,43,42
Renewable_14_82,72,72
Renewable_15_70,60,85
Renewable_16_39,72,72
Renewable_17_82,72,72
Renewable_18_64,72,72
Renewable_19_28,42,42
Renewable_20_95,85,85
Renewable_21_56,72,72
Renewable_22_1,20,20
Renewable_23_80,72,72
Renewable_24_31,42,42
Renewable_25_8,42,42
Renewable_26_33,43,67
Renewable_27_61,72,72
Renewable_28_63,72,72
Renewable_29_2,40,40
Renewable_30_23,42,42
Renewable_31_71,64,64
Renewable_32_91,85,85
Renewable_33_90,85,85
Renewable_34_27,43,43
Renewable_35_22,68,68
Renewable_36_73,82,64
Renewable_37_17,42,42
Renewable_38_93,85,85
Renewable_39_77,82,82
Renewable_40_11,42,42
Renewable_41_69,72,72
Renewable_42_74,82,82
Renewable_43_88,82,82
Renewable_44_61,72,72
Renewable_45_56,72,72
Renewable_46_31,42,42
Renewable_47_2,40,40
Renewable_48_13,42,42
Renewable_49_4,60,60
Renewable_50_95,85,85
Renewable_51_12,40,40
Renewable_52_81,72,85
Renewable_53_56,72,72
Renewable_54_79,72,72
Renewable_55_91,85,85
Renewable_56_89,85,85
Renewable_57_47,42,42
Renewable_58_93,85,85
Renewable_59_45,42,42
Renewable_60_91,85,85
Renewable_61_6,42,40
Renewable_62_62,72,72
Renewable_63_44,42,42
Renewable_64_39,72,72
Renewable_65_60,72,72
Renewable_66_74,82,82
Renewable_67_42,68,68
Renewable_68_68,72,72
Renewable_69_14,42,42
Renewable_70_59,72,72
Renewable_71_34,42,42
Renewable_72_32,42,42
Renewable_73_61,72,72
Renewable_74_69,72,72
Renewable_75_63,72,72
Renewable_76_34,42,42
Renewable_77_7,42,42
Renewable_78_15,40,40
Renewable_79_1,20,20
Renewable_80_58,72,72
Renewable_81_23,42,42
Renewable_82_30,42,40
Renewable_83_13,42,42
Renewable_84_91,85,85
Renewable_85_36,42,42
Renewable_86_100,80,98
Renewable_87_6,42,40
Renewable_88_40,60,60
Renewable_89_99,85,85
Renewable_90_65,72,72
Renewable_91_50,42,42
Renewable_92_38,42,72
Renewable_93_89,85,85
Renewable_94_3,40,40
Renewable_95_81,72,72
Renewable_96_30,60,60
Renewable_97_77,82,72
Renewable_98_92,85,85
Renewable_99_29,42,42
Renewable_100_64,72,72
