Company_ID,Expert_E_a_practicing_muslim,Expert_E_a_practicing_christian
Trees_1_991626,60,60
Trees_2_600008,60,60
Trees_3_551025,60,60
Trees_4_794560,60,60
Trees_5_110716,60,60
Trees_6_198925,60,60
Trees_7_952481,60,60
Trees_8_316646,60,60
Trees_9_31957,60,60
Trees_10_996051,60,60
Trees_11_728016,60,60
Trees_12_477037,60,60
Trees_13_801675,60,60
Trees_14_878251,60,60
Trees_15_149980,60,60
Trees_16_735011,60,60
Trees_17_920535,60,60
Trees_18_176890,60,60
Trees_19_377455,60,60
Trees_20_596189,60,60
Trees_21_161715,60,60
Trees_22_383907,60,60
Trees_23_898689,60,60
Trees_24_700150,60,60
Trees_25_202084,60,60
Trees_26_467810,60,60
Trees_27_644324,60,60
Trees_28_359584,60,60
Trees_29_40132,60,60
Trees_30_970721,60,60
Trees_31_769743,60,42
Trees_32_255444,60,60
Trees_33_567391,60,60
Trees_34_272642,60,60
Trees_35_626008,60,60
Trees_36_884508,60,60
Trees_37_561193,60,60
Trees_38_624488,60,60
Trees_39_857677,60,60
Trees_40_591437,60,60
Trees_41_238427,60,60
Trees_42_658455,60,60
Trees_43_680381,60,60
Trees_44_937114,60,60
Trees_45_654420,60,60
Trees_46_925998,60,60
Trees_47_379867,60,60
Trees_48_294921,60,60
Trees_49_639766,60,60
Trees_50_207435,60,60
Trees_51_670384,60,60
Trees_52_573340,60,60
Trees_53_498686,60,60
Trees_54_616828,60,60
Trees_55_654797,42,42
Trees_56_53861,60,60
Trees_57_406977,60,60
Trees_58_761584,42,60
Trees_59_506122,60,60
Trees_60_912259,60,60
Trees_61_302118,60,60
Trees_62_168448,60,60
Trees_63_445897,60,60
Trees_64_188042,60,60
Trees_65_322991,60,60
Trees_66_626426,60,60
Trees_67_361206,60,60
Trees_68_307545,60,60
Trees_69_43985,60,60
Trees_70_896697,60,60
Trees_71_630153,60,60
Trees_72_144612,60,60
Trees_73_996036,60,60
Trees_74_437197,60,60
Trees_75_650520,60,60
Trees_76_221639,60,60
Trees_77_393567,60,60
Trees_78_193983,60,60
Trees_79_304581,60,60
Trees_80_475088,60,60
Trees_81_704375,60,60
Trees_82_452629,60,60
Trees_83_441676,60,60
Trees_84_214595,60,60
Trees_85_759454,60,60
Trees_86_14568,60,60
Trees_87_530861,60,60
Trees_88_752714,60,60
Trees_89_473338,60,60
Trees_90_889138,60,60
Trees_91_216408,60,60
Trees_92_801622,60,60
Trees_93_917283,60,60
Trees_94_526000,60,60
Trees_95_657772,60,60
Trees_96_115164,60,60
Trees_97_298041,60,60
Trees_98_543967,60,60
Trees_99_652610,60,60
Trees_100_93329,60,60
Renewable_1_5,40,60
Renewable_2_93,85,85
Renewable_3_89,82,82
Renewable_4_90,85,85
Renewable_5_63,72,63
Renewable_6_51,67,67
Renewable_7_65,72,72
Renewable_8_36,42,42
Renewable_9_88,82,82
Renewable_10_70,60,60
Renewable_11_50,72,72
Renewable_12_3,40,40
Renewable_13_52,64,64
Renewable_14_94,82,82
Renewable_15_62,72,72
Renewable_16_96,82,82
Renewable_17_20,40,40
Renewable_18_78,72,72
Renewable_19_76,72,72
Renewable_20_64,72,72
Renewable_21_3,40,40
Renewable_22_98,92,92
Renewable_23_60,72,72
Renewable_24_40,60,60
Renewable_25_23,42,42
Renewable_26_23,42,42
Renewable_27_97,85,85
Renewable_28_7,42,42
Renewable_29_97,85,85
Renewable_30_15,42,40
Renewable_31_62,72,72
Renewable_32_5,60,60
Renewable_33_37,43,42
Renewable_34_72,64,64
Renewable_35_15,40,42
Renewable_36_52,64,64
Renewable_37_2,40,40
Renewable_38_95,85,85
Renewable_39_45,72,72
Renewable_40_94,82,82
Renewable_41_62,72,72
Renewable_42_95,85,85
Renewable_43_90,85,85
Renewable_44_92,85,85
Renewable_45_56,72,72
Renewable_46_62,72,72
Renewable_47_68,72,72
Renewable_48_99,85,85
Renewable_49_33,67,67
Renewable_50_52,64,64
Renewable_51_69,72,72
Renewable_52_82,72,72
Renewable_53_34,42,42
Renewable_54_34,42,42
Renewable_55_39,72,72
Renewable_56_36,42,42
Renewable_57_53,67,67
Renewable_58_47,72,72
Renewable_59_56,72,72
Renewable_60_44,72,72
Renewable_61_47,72,72
Renewable_62_25,42,42
Renewable_63_100,80,98
Renewable_64_81,72,72
Renewable_65_4,60,60
Renewable_66_93,85,85
Renewable_67_28,42,42
Renewable_68_95,85,85
Renewable_69_89,82,82
Renewable_70_19,43,43
Renewable_71_8,42,42
Renewable_72_38,72,72
Renewable_73_35,42,42
Renewable_74_64,72,64
Renewable_75_82,72,72
Renewable_76_46,72,72
Renewable_77_33,67,67
Renewable_78_67,72,72
Renewable_79_19,43,43
Renewable_80_90,85,85
Renewable_81_73,64,64
Renewable_82_92,85,85
Renewable_83_39,72,72
Renewable_84_45,72,72
Renewable_85_53,67,67
Renewable_86_93,85,85
Renewable_87_33,67,67
Renewable_88_11,42,42
Renewable_89_58,72,72
Renewable_90_26,42,42
Renewable_91_79,72,72
Renewable_92_68,72,72
Renewable_93_9,42,42
Renewable_94_29,42,42
Renewable_95_45,72,72
Renewable_96_22,68,68
Renewable_97_31,43,43
Renewable_98_60,72,72
Renewable_99_78,72,72
Renewable_100_35,42,42
